#MA5 EffMap for txName: T1bbbb , Analysis: atlas_susy_2013_04 , SR: 7j80,0bjet
# Mother  Daughter  Eff. 
900.0   640.0   0.0000179
300.0   120.0   0.0000339
420.0   360.0   0.0000000
1200.0   1   0.0007736
1620.0   360.0   0.0007461
1500.0   80.0   0.0006919
1260.0   80.0   0.0007348
1680.0   560.0   0.0005602
1260.0   600.0   0.0003933
1500.0   280.0   0.0007236
120.0   80.0   0.0000000
960.0   680.0   0.0000534
840.0   600.0   0.0000727
1020.0   560.0   0.0001778
1200.0   240.0   0.0004282
540.0   440.0   0.0000183
900.0   240.0   0.0003409
420.0   1   0.0000714
1260.0   120.0   0.0007485
600.0   80.0   0.0001846
1380.0   600.0   0.0004874
360.0   1   0.0000176
780.0   240.0   0.0002741
480.0   280.0   0.0000182
1260.0   160.0   0.0006828
1620.0   600.0   0.0005327
1260.0   680.0   0.0001878
1320.0   600.0   0.0003395
1440.0   320.0   0.0005978
960.0   480.0   0.0002319
1500.0   520.0   0.0005585
1020.0   640.0   0.0001238
1500.0   480.0   0.0005922
420.0   40.0   0.0000716
1620.0   1   0.0007608
480.0   160.0   0.0000729
1440.0   240.0   0.0008769
1680.0   40.0   0.0010541
1680.0   160.0   0.0008319
1680.0   680.0   0.0002721
1260.0   640.0   0.0004269
840.0   200.0   0.0002352
1200.0   160.0   0.0004814
840.0   560.0   0.0001628
1560.0   240.0   0.0007684
1380.0   280.0   0.0008074
960.0   200.0   0.0004107
1080.0   160.0   0.0006496
720.0   1   0.0004573
660.0   120.0   0.0002938
1440.0   280.0   0.0006648
1560.0   440.0   0.0007811
840.0   360.0   0.0002536
720.0   520.0   0.0000733
900.0   680.0   0.0000180
1560.0   600.0   0.0006041
480.0   400.0   0.0000000
1320.0   680.0   0.0003899
1200.0   680.0   0.0002411
1440.0   120.0   0.0008305
1560.0   640.0   0.0005685
780.0   400.0   0.0001459
780.0   440.0   0.0000910
1500.0   360.0   0.0009705
660.0   440.0   0.0000550
1560.0   520.0   0.0008320
600.0   440.0   0.0000184
1080.0   440.0   0.0003846
1260.0   360.0   0.0006171
1620.0   160.0   0.0008222
1500.0   560.0   0.0003782
1620.0   560.0   0.0005012
960.0   560.0   0.0001767
1080.0   480.0   0.0003858
1020.0   1   0.0004963
1320.0   40.0   0.0007411
1500.0   160.0   0.0008044
360.0   240.0   0.0000000
1560.0   200.0   0.0008821
840.0   120.0   0.0002908
900.0   440.0   0.0002158
540.0   480.0   0.0000000
540.0   360.0   0.0000183
1320.0   200.0   0.0010134
1260.0   480.0   0.0006657
900.0   400.0   0.0002878
780.0   280.0   0.0002276
1380.0   1   0.0008506
720.0   600.0   0.0000000
1680.0   640.0   0.0005918
1020.0   440.0   0.0002657
660.0   400.0   0.0001103
1320.0   640.0   0.0002195
180.0   120.0   0.0000000
600.0   320.0   0.0000367
780.0   40.0   0.0003470
1140.0   240.0   0.0004163
540.0   40.0   0.0001100
1680.0   520.0   0.0006261
660.0   320.0   0.0001836
1200.0   320.0   0.0006503
600.0   240.0   0.0001288
240.0   80.0   0.0000000
1260.0   40.0   0.0006808
540.0   320.0   0.0000366
660.0   480.0   0.0000183
780.0   160.0   0.0003302
1200.0   440.0   0.0004329
1020.0   600.0   0.0001241
1320.0   440.0   0.0005724
1140.0   560.0   0.0003486
1680.0   1   0.0009633
900.0   1   0.0003407
1200.0   80.0   0.0007377
660.0   360.0   0.0000740
1140.0   480.0   0.0003299
1200.0   200.0   0.0007423
420.0   160.0   0.0000179
360.0   160.0   0.0000000
1200.0   40.0   0.0008416
1500.0   320.0   0.0006924
360.0   280.0   0.0000000
1560.0   320.0   0.0006866
1080.0   120.0   0.0006462
900.0   600.0   0.0001620
780.0   480.0   0.0001097
540.0   120.0   0.0001657
900.0   520.0   0.0000537
900.0   200.0   0.0003764
1080.0   360.0   0.0002976
780.0   680.0   0.0000000
960.0   40.0   0.0003975
960.0   320.0   0.0002677
480.0   240.0   0.0000727
1080.0   560.0   0.0002624
1140.0   440.0   0.0001908
1440.0   40.0   0.0007466
1560.0   160.0   0.0010062
1020.0   680.0   0.0001581
1380.0   160.0   0.0006399
1440.0   520.0   0.0004342
1260.0   560.0   0.0002909
960.0   640.0   0.0001067
900.0   80.0   0.0004510
840.0   480.0   0.0000544
180.0   80.0   0.0000000
360.0   40.0   0.0000176
1140.0   320.0   0.0005395
1140.0   640.0   0.0001385
1260.0   1   0.0008530
840.0   400.0   0.0001453
900.0   120.0   0.0004834
120.0   40.0   0.0000000
1320.0   280.0   0.0005924
780.0   200.0   0.0002190
300.0   200.0   0.0000171
300.0   40.0   0.0000204
900.0   360.0   0.0004308
1440.0   600.0   0.0004650
1500.0   200.0   0.0008395
1380.0   680.0   0.0003187
720.0   320.0   0.0002188
1680.0   80.0   0.0009611
1020.0   400.0   0.0003554
1140.0   680.0   0.0002607
1620.0   280.0   0.0007758
600.0   560.0   0.0000000
1200.0   480.0   0.0004621
1020.0   320.0   0.0003724
240.0   120.0   0.0000000
1680.0   200.0   0.0007674
1200.0   600.0   0.0003956
1620.0   480.0   0.0005969
1320.0   480.0   0.0006276
1260.0   440.0   0.0004949
360.0   80.0   0.0000350
540.0   240.0   0.0000368
1500.0   600.0   0.0006557
840.0   520.0   0.0000181
1020.0   280.0   0.0004416
480.0   1   0.0001132
780.0   600.0   0.0000365
1620.0   80.0   0.0008926
1080.0   200.0   0.0005439
1080.0   400.0   0.0004012
1320.0   160.0   0.0006609
1560.0   560.0   0.0004738
900.0   280.0   0.0004129
1500.0   440.0   0.0008232
1200.0   400.0   0.0004284
1620.0   520.0   0.0005677
