#MA5 EffMap for txName: T1bbbb , Analysis: atlas_susy_2013_04 , SR: >=8j80,>=2bjets
# Mother  Daughter  Eff. 
900.0   640.0   0.0000715
300.0   120.0   0.0000339
420.0   360.0   0.0000000
1200.0   1   0.0048651
1620.0   360.0   0.0060986
1500.0   80.0   0.0071166
1260.0   80.0   0.0052292
1680.0   560.0   0.0041136
1260.0   600.0   0.0014192
1500.0   280.0   0.0052297
120.0   80.0   0.0000000
960.0   680.0   0.0001602
840.0   600.0   0.0001272
1020.0   560.0   0.0008891
1200.0   240.0   0.0038198
540.0   440.0   0.0000000
900.0   240.0   0.0017583
420.0   1   0.0002857
1260.0   120.0   0.0047970
600.0   80.0   0.0007567
1380.0   600.0   0.0022018
360.0   1   0.0000703
780.0   240.0   0.0010965
480.0   280.0   0.0001456
1260.0   160.0   0.0046429
1620.0   600.0   0.0035767
1260.0   680.0   0.0012801
1320.0   600.0   0.0017652
1440.0   320.0   0.0045165
960.0   480.0   0.0008026
1500.0   520.0   0.0035314
1020.0   640.0   0.0005130
1500.0   480.0   0.0036193
420.0   40.0   0.0003401
1620.0   1   0.0082717
480.0   160.0   0.0001458
1440.0   240.0   0.0059565
1680.0   40.0   0.0085609
1680.0   160.0   0.0078867
1680.0   680.0   0.0036167
1260.0   640.0   0.0012467
840.0   200.0   0.0016825
1200.0   160.0   0.0046259
840.0   560.0   0.0002351
1560.0   240.0   0.0059836
1380.0   280.0   0.0045582
960.0   200.0   0.0027680
1080.0   160.0   0.0033707
720.0   1   0.0015730
660.0   120.0   0.0007896
1440.0   280.0   0.0052357
1560.0   440.0   0.0047029
840.0   360.0   0.0010871
720.0   520.0   0.0000550
900.0   680.0   0.0000360
1560.0   600.0   0.0029391
480.0   400.0   0.0000000
1320.0   680.0   0.0014069
1200.0   680.0   0.0007921
1440.0   120.0   0.0066106
1560.0   640.0   0.0028102
780.0   400.0   0.0006201
780.0   440.0   0.0002730
1500.0   360.0   0.0045729
660.0   440.0   0.0000550
1560.0   520.0   0.0040621
600.0   440.0   0.0000369
1080.0   440.0   0.0020103
1260.0   360.0   0.0030513
1620.0   160.0   0.0078508
1500.0   560.0   0.0033713
1620.0   560.0   0.0038644
960.0   560.0   0.0005080
1080.0   480.0   0.0013852
1020.0   1   0.0032617
1320.0   40.0   0.0059122
1500.0   160.0   0.0059261
360.0   240.0   0.0000000
1560.0   200.0   0.0071224
840.0   120.0   0.0022721
900.0   440.0   0.0006294
540.0   480.0   0.0000000
