#MA5 EffMap for txName: T2tt , Analysis: atlas_susy_2013_04 , SR: 9j50,0bjet
# Mother  Daughter  Eff. 
760.0   620.0   0.0000000
600.0   260.0   0.0000920
920.0   520.0   0.0001678
520.0   320.0   0.0000362
200.0   60.0   0.0000000
1000.0   240.0   0.0002236
840.0   580.0   0.0001488
720.0   420.0   0.0000931
400.0   20.0   0.0000521
640.0   280.0   0.0002020
560.0   120.0   0.0001273
240.0   60.0   0.0000000
680.0   520.0   0.0000185
680.0   80.0   0.0001666
440.0   100.0   0.0000708
680.0   320.0   0.0002035
640.0   460.0   0.0000924
840.0   40.0   0.0001863
800.0   20.0   0.0002239
440.0   1   0.0000534
1000.0   620.0   0.0002233
1000.0   120.0   0.0003899
800.0   680.0   0.0000000
720.0   580.0   0.0000558
440.0   240.0   0.0000534
800.0   140.0   0.0002418
920.0   420.0   0.0001487
920.0   560.0   0.0001670
800.0   240.0   0.0002424
600.0   100.0   0.0000918
360.0   1   0.0000343
560.0   320.0   0.0000550
440.0   60.0   0.0000712
360.0   80.0   0.0000171
920.0   1   0.0003720
880.0   260.0   0.0004083
440.0   160.0   0.0000534
1000.0   680.0   0.0001863
680.0   160.0   0.0001671
680.0   40.0   0.0002771
400.0   100.0   0.0001220
640.0   180.0   0.0001838
880.0   40.0   0.0003558
840.0   640.0   0.0000559
280.0   120.0   0.0000163
760.0   640.0   0.0000373
880.0   560.0   0.0001683
760.0   480.0   0.0001125
640.0   440.0   0.0000736
960.0   60.0   0.0003737
840.0   320.0   0.0002236
280.0   40.0   0.0000163
560.0   100.0   0.0002011
880.0   160.0   0.0002240
960.0   240.0   0.0002235
840.0   240.0   0.0002065
400.0   200.0   0.0000524
760.0   600.0   0.0000560
640.0   540.0   0.0000184
520.0   360.0   0.0000182
680.0   260.0   0.0002985
560.0   400.0   0.0000363
360.0   180.0   0.0000345
480.0   1   0.0000541
560.0   440.0   0.0000000
840.0   340.0   0.0002803
800.0   1   0.0002972
360.0   160.0   0.0000514
440.0   300.0   0.0000178
1000.0   580.0   0.0002047
880.0   600.0   0.0001674
520.0   20.0   0.0000903
440.0   280.0   0.0000355
640.0   380.0   0.0002223
680.0   120.0   0.0003348
1000.0   20.0   0.0004265
880.0   140.0   0.0003182
680.0   240.0   0.0002413
720.0   200.0   0.0002215
800.0   280.0   0.0002796
560.0   260.0   0.0001093
880.0   300.0   0.0002815
720.0   100.0   0.0004115
800.0   320.0   0.0002974
680.0   220.0   0.0002029
680.0   100.0   0.0001670
560.0   340.0   0.0001644
840.0   380.0   0.0004076
920.0   160.0   0.0003345
280.0   100.0   0.0000327
1000.0   360.0   0.0003918
160.0   40.0   0.0000000
680.0   280.0   0.0001666
280.0   180.0   0.0000000
480.0   40.0   0.0001074
680.0   300.0   0.0001855
800.0   640.0   0.0000374
800.0   80.0   0.0002978
840.0   300.0   0.0003545
720.0   600.0   0.0000000
640.0   340.0   0.0000741
720.0   160.0   0.0001301
560.0   460.0   0.0000000
920.0   120.0   0.0002971
720.0   520.0   0.0000371
720.0   240.0   0.0002229
600.0   460.0   0.0000000
920.0   280.0   0.0003367
320.0   140.0   0.0000335
640.0   420.0   0.0000554
920.0   600.0   0.0000926
240.0   100.0   0.0000000
400.0   240.0   0.0000175
520.0   420.0   0.0000000
520.0   140.0   0.0000181
840.0   520.0   0.0002983
840.0   260.0   0.0002608
440.0   120.0   0.0000530
960.0   640.0   0.0002429
480.0   140.0   0.0001074
720.0   260.0   0.0003908
880.0   320.0   0.0003358
840.0   660.0   0.0000744
400.0   180.0   0.0000875
840.0   600.0   0.0001485
400.0   60.0   0.0000174
760.0   460.0   0.0001491
760.0   380.0   0.0002599
880.0   400.0   0.0001309
880.0   480.0   0.0002619
240.0   120.0   0.0000000
920.0   620.0   0.0000560
560.0   60.0   0.0002926
240.0   80.0   0.0000000
120.0   1   0.0000000
760.0   320.0   0.0001488
520.0   380.0   0.0000181
680.0   580.0   0.0000000
600.0   420.0   0.0001287
760.0   440.0   0.0001677
840.0   620.0   0.0000743
400.0   80.0   0.0000174
800.0   120.0   0.0002598
480.0   240.0   0.0001263
640.0   220.0   0.0002585
720.0   360.0   0.0001479
760.0   500.0   0.0000186
440.0   200.0   0.0000532
840.0   500.0   0.0001684
480.0   360.0   0.0000000
320.0   220.0   0.0000168
240.0   140.0   0.0000157
960.0   520.0   0.0002605
520.0   400.0   0.0000000
760.0   260.0   0.0001302
840.0   200.0   0.0001682
840.0   80.0   0.0004307
440.0   260.0   0.0000178
720.0   120.0   0.0002794
560.0   1   0.0002373
600.0   160.0   0.0001822
960.0   120.0   0.0004481
600.0   120.0   0.0002022
440.0   320.0   0.0000000
520.0   200.0   0.0001451
480.0   200.0   0.0000716
720.0   40.0   0.0002407
920.0   380.0   0.0001667
560.0   300.0   0.0001460
640.0   80.0   0.0002219
720.0   20.0   0.0003518
440.0   20.0   0.0000714
720.0   400.0   0.0001484
760.0   420.0   0.0001494
600.0   80.0   0.0001644
1000.0   560.0   0.0002229
680.0   540.0   0.0000000
880.0   240.0   0.0002970
560.0   420.0   0.0000365
800.0   500.0   0.0002047
600.0   180.0   0.0001840
560.0   360.0   0.0001644
240.0   20.0   0.0000000
800.0   60.0   0.0003359
400.0   280.0   0.0000175
560.0   240.0   0.0001835
560.0   80.0   0.0001640
640.0   520.0   0.0000370
440.0   340.0   0.0000178
920.0   100.0   0.0003370
320.0   60.0   0.0000839
160.0   1   0.0000000
400.0   140.0   0.0000698
920.0   40.0   0.0002981
1000.0   80.0   0.0003351
880.0   680.0   0.0000556
880.0   420.0   0.0002045
720.0   220.0   0.0002044
1000.0   660.0   0.0001851
520.0   180.0   0.0001450
320.0   40.0   0.0000336
600.0   240.0   0.0000924
200.0   100.0   0.0000000
920.0   340.0   0.0004472
680.0   60.0   0.0002582
920.0   500.0   0.0004460
880.0   660.0   0.0000744
640.0   120.0   0.0001664
560.0   220.0   0.0001642
920.0   580.0   0.0002975
920.0   300.0   0.0002980
360.0   140.0   0.0000171
840.0   60.0   0.0002604
720.0   320.0   0.0001674
120.0   20.0   0.0000000
840.0   180.0   0.0002059
680.0   420.0   0.0001107
680.0   140.0   0.0003146
520.0   120.0   0.0001451
480.0   80.0   0.0001436
320.0   160.0   0.0000167
1000.0   440.0   0.0003351
640.0   20.0   0.0002770
720.0   300.0   0.0002408
480.0   300.0   0.0000360
840.0   420.0   0.0002245
400.0   160.0   0.0000175
320.0   80.0   0.0000336
480.0   20.0   0.0002160
960.0   200.0   0.0004098
160.0   60.0   0.0000000
880.0   60.0   0.0003346
