#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: WWb-SF
# Mother  Daughter  Eff. 
720.0   390.0   0.0090764
720.0   510.0   0.0167546
320.0   300.0   0.0000000
440.0   90.0   0.0122072
560.0   330.0   0.0158747
480.0   420.0   0.0124575
400.0   60.0   0.0134334
640.0   30.0   0.0059387
800.0   300.0   0.0053822
480.0   450.0   0.0000000
480.0   90.0   0.0103085
640.0   150.0   0.0069316
560.0   120.0   0.0079983
600.0   300.0   0.0112009
400.0   330.0   0.0202015
200.0   1   0.0272611
240.0   210.0   0.0000000
560.0   90.0   0.0080313
760.0   360.0   0.0068736
720.0   420.0   0.0102685
600.0   180.0   0.0081070
720.0   330.0   0.0076987
800.0   360.0   0.0060789
480.0   300.0   0.0210397
680.0   150.0   0.0060982
280.0   120.0   0.0258475
720.0   570.0   0.0246574
800.0   630.0   0.0219252
680.0   330.0   0.0086851
600.0   360.0   0.0149766
520.0   30.0   0.0086141
720.0   270.0   0.0064651
440.0   330.0   0.0289479
320.0   270.0   0.0013268
520.0   420.0   0.0295496
360.0   210.0   0.0254480
400.0   180.0   0.0182477
360.0   90.0   0.0167384
800.0   240.0   0.0047877
360.0   240.0   0.0279268
600.0   390.0   0.0173211
400.0   360.0   0.0000138
720.0   150.0   0.0051238
800.0   600.0   0.0177382
760.0   120.0   0.0045892
520.0   330.0   0.0196497
680.0   390.0   0.0113384
720.0   480.0   0.0143029
720.0   630.0   0.0309856
360.0   1   0.0150559
560.0   390.0   0.0219773
560.0   420.0   0.0260181
400.0   90.0   0.0138580
320.0   150.0   0.0235582
720.0   240.0   0.0057368
760.0   420.0   0.0084936
520.0   390.0   0.0274222
360.0   180.0   0.0227210
160.0   120.0   0.0000000
520.0   90.0   0.0090150
720.0   660.0   0.0137672
360.0   330.0   0.0000000
560.0   540.0   0.0000000
800.0   120.0   0.0040866
680.0   60.0   0.0056163
280.0   180.0   0.0276730
240.0   30.0   0.0237420
560.0   300.0   0.0133277
320.0   60.0   0.0185852
760.0   30.0   0.0040997
560.0   1   0.0077714
760.0   480.0   0.0115875
680.0   630.0   0.0032073
720.0   90.0   0.0047255
280.0   210.0   0.0173918
800.0   60.0   0.0037911
640.0   90.0   0.0062762
400.0   120.0   0.0151851
160.0   60.0   0.0220917
480.0   270.0   0.0181783
440.0   390.0   0.0019520
240.0   60.0   0.0248721
640.0   450.0   0.0192967
680.0   510.0   0.0219157
560.0   480.0   0.0271696
720.0   360.0   0.0081735
80.0   1   0.0000000
720.0   300.0   0.0068112
680.0   660.0   0.0000000
760.0   180.0   0.0047117
280.0   60.0   0.0218409
800.0   660.0   0.0269747
600.0   480.0   0.0292096
80.0   60.0   0.0000000
80.0   30.0   0.0000000
680.0   210.0   0.0064287
40.0   1   0.0000000
480.0   390.0   0.0291406
480.0   180.0   0.0125099
680.0   360.0   0.0099345
600.0   1   0.0067217
360.0   270.0   0.0277202
560.0   450.0   0.0301608
600.0   330.0   0.0128021
520.0   270.0   0.0142970
280.0   90.0   0.0232428
240.0   180.0   0.0073853
640.0   510.0   0.0276589
400.0   390.0   0.0000000
480.0   360.0   0.0280732
680.0   1   0.0053656
600.0   150.0   0.0075015
480.0   30.0   0.0100520
320.0   1   0.0181543
200.0   120.0   0.0191968
680.0   450.0   0.0152009
520.0   240.0   0.0127354
320.0   30.0   0.0173441
520.0   120.0   0.0094871
640.0   630.0   0.0000000
680.0   540.0   0.0264039
720.0   210.0   0.0057235
760.0   90.0   0.0045363
760.0   300.0   0.0061234
680.0   570.0   0.0298530
680.0   30.0   0.0053583
440.0   360.0   0.0258559
760.0   390.0   0.0078126
400.0   270.0   0.0275523
520.0   60.0   0.0086509
680.0   480.0   0.0183383
360.0   120.0   0.0178228
240.0   90.0   0.0261469
760.0   270.0   0.0055852
120.0   90.0   0.0000000
640.0   420.0   0.0160968
440.0   1   0.0113133
760.0   330.0   0.0066486
280.0   150.0   0.0269463
600.0   510.0   0.0299650
680.0   240.0   0.0066644
800.0   390.0   0.0065741
520.0   510.0   0.0000000
760.0   630.0   0.0281197
360.0   30.0   0.0154658
640.0   330.0   0.0106935
640.0   390.0   0.0137576
600.0   30.0   0.0068968
440.0   210.0   0.0169521
800.0   150.0   0.0043983
800.0   30.0   0.0038317
640.0   120.0   0.0062391
720.0   120.0   0.0052661
280.0   270.0   0.0000000
680.0   270.0   0.0073509
280.0   240.0   0.0000000
440.0   300.0   0.0258559
640.0   300.0   0.0095272
320.0   240.0   0.0235135
680.0   90.0   0.0057448
560.0   150.0   0.0083535
800.0   420.0   0.0072751
800.0   90.0   0.0040588
760.0   510.0   0.0131942
680.0   600.0   0.0288953
600.0   120.0   0.0071464
280.0   30.0   0.0218523
600.0   210.0   0.0082581
520.0   450.0   0.0216123
200.0   150.0   0.0002059
760.0   60.0   0.0044672
800.0   540.0   0.0125391
560.0   210.0   0.0096537
40.0   30.0   0.0000000
760.0   570.0   0.0191228
440.0   420.0   0.0000000
560.0   270.0   0.0120071
600.0   270.0   0.0103669
480.0   210.0   0.0139933
800.0   450.0   0.0084489
200.0   60.0   0.0280533
360.0   150.0   0.0196951
720.0   180.0   0.0052782
760.0   150.0   0.0047652
600.0   240.0   0.0091491
440.0   150.0   0.0138434
760.0   540.0   0.0156855
240.0   120.0   0.0284393
640.0   360.0   0.0118310
600.0   450.0   0.0248718
520.0   1   0.0082256
760.0   690.0   0.0235860
120.0   60.0   0.0003288
760.0   210.0   0.0047171
800.0   270.0   0.0050685
720.0   540.0   0.0200062
520.0   480.0   0.0000186
160.0   150.0   0.0000000
800.0   690.0   0.0319407
480.0   60.0   0.0096185
400.0   240.0   0.0241427
760.0   1   0.0045569
640.0   270.0   0.0083784
