#MA5 EffMap for txName: T2tt , Analysis: cms_sus_13_012 , SR: 3NJet6_1000HT1250_200MHT300
# Mother  Daughter  Eff. 
760.0   620.0   0.0001484
600.0   260.0   0.0027227
920.0   520.0   0.0044923
520.0   320.0   0.0003441
200.0   60.0   0.0001808
1000.0   240.0   0.0069865
840.0   580.0   0.0010231
720.0   420.0   0.0020476
400.0   20.0   0.0018410
640.0   280.0   0.0034890
560.0   120.0   0.0041994
240.0   60.0   0.0000790
680.0   520.0   0.0002039
680.0   80.0   0.0057006
440.0   100.0   0.0020717
680.0   320.0   0.0039592
640.0   460.0   0.0001848
840.0   40.0   0.0068376
800.0   20.0   0.0069395
440.0   1   0.0030258
1000.0   620.0   0.0045582
1000.0   120.0   0.0067589
800.0   680.0   0.0001305
720.0   580.0   0.0001301
440.0   240.0   0.0005698
800.0   140.0   0.0063990
920.0   420.0   0.0062447
920.0   560.0   0.0040635
800.0   240.0   0.0067690
600.0   100.0   0.0055450
360.0   1   0.0013015
560.0   320.0   0.0011181
440.0   60.0   0.0028111
360.0   80.0   0.0009596
920.0   1   0.0063983
880.0   260.0   0.0062922
440.0   160.0   0.0012807
1000.0   680.0   0.0024225
680.0   160.0   0.0052921
680.0   40.0   0.0059481
400.0   100.0   0.0013765
640.0   180.0   0.0051091
880.0   40.0   0.0067221
840.0   640.0   0.0002797
280.0   120.0   0.0003098
760.0   640.0   0.0002051
880.0   560.0   0.0025063
760.0   480.0   0.0016127
640.0   440.0   0.0003863
960.0   60.0   0.0069890
840.0   320.0   0.0060186
280.0   40.0   0.0002452
560.0   100.0   0.0042421
880.0   160.0   0.0076550
960.0   240.0   0.0069469
840.0   240.0   0.0069652
400.0   200.0   0.0004719
760.0   600.0   0.0003544
640.0   540.0   0.0001289
520.0   360.0   0.0002914
680.0   260.0   0.0048695
560.0   400.0   0.0002362
360.0   180.0   0.0002757
480.0   1   0.0033722
560.0   440.0   0.0001281
840.0   340.0   0.0067090
800.0   1   0.0065379
360.0   160.0   0.0003943
440.0   300.0   0.0002845
1000.0   580.0   0.0056765
880.0   600.0   0.0015623
520.0   20.0   0.0036862
440.0   280.0   0.0002482
640.0   380.0   0.0012968
680.0   120.0   0.0063432
1000.0   20.0   0.0067682
880.0   140.0   0.0064941
680.0   240.0   0.0049376
720.0   200.0   0.0057773
800.0   280.0   0.0066729
560.0   260.0   0.0019675
880.0   300.0   0.0070744
720.0   100.0   0.0060422
800.0   320.0   0.0060777
680.0   220.0   0.0046300
680.0   100.0   0.0061621
560.0   340.0   0.0004931
840.0   380.0   0.0062442
920.0   160.0   0.0070624
280.0   100.0   0.0001797
1000.0   360.0   0.0074818
160.0   40.0   0.0000141
680.0   280.0   0.0047386
280.0   180.0   0.0000327
480.0   40.0   0.0028110
680.0   300.0   0.0041378
800.0   640.0   0.0002428
800.0   80.0   0.0066252
840.0   300.0   0.0065483
720.0   600.0   0.0001296
640.0   340.0   0.0022420
720.0   160.0   0.0062465
560.0   460.0   0.0001092
920.0   120.0   0.0072411
720.0   520.0   0.0004638
720.0   240.0   0.0052949
600.0   460.0   0.0002743
920.0   280.0   0.0067144
320.0   140.0   0.0002684
640.0   420.0   0.0006651
920.0   600.0   0.0024636
240.0   100.0   0.0001256
400.0   240.0   0.0003681
520.0   420.0   0.0001088
520.0   140.0   0.0030077
840.0   520.0   0.0026097
840.0   260.0   0.0068192
440.0   120.0   0.0018028
960.0   640.0   0.0027095
480.0   140.0   0.0027022
720.0   260.0   0.0053595
880.0   320.0   0.0071636
840.0   660.0   0.0002605
400.0   180.0   0.0005078
840.0   600.0   0.0007424
400.0   60.0   0.0016370
760.0   460.0   0.0021253
760.0   380.0   0.0042326
880.0   400.0   0.0061698
880.0   480.0   0.0047330
240.0   120.0   0.0001726
920.0   620.0   0.0019211
560.0   60.0   0.0041702
240.0   80.0   0.0001413
120.0   1   0.0000131
760.0   320.0   0.0054125
520.0   380.0   0.0001450
680.0   580.0   0.0001293
600.0   420.0   0.0001839
760.0   440.0   0.0027949
840.0   620.0   0.0005946
400.0   80.0   0.0016568
800.0   120.0   0.0069223
480.0   240.0   0.0007936
640.0   220.0   0.0041541
720.0   360.0   0.0036786
760.0   500.0   0.0012449
440.0   200.0   0.0006915
840.0   500.0   0.0032187
480.0   360.0   0.0001076
320.0   220.0   0.0001174
240.0   140.0   0.0000315
960.0   520.0   0.0056944
520.0   400.0   0.0001638
760.0   260.0   0.0053557
840.0   200.0   0.0064475
840.0   80.0   0.0071901
440.0   260.0   0.0004105
720.0   120.0   0.0062022
560.0   1   0.0047270
600.0   160.0   0.0044098
960.0   120.0   0.0067222
600.0   120.0   0.0049086
440.0   320.0   0.0001062
520.0   200.0   0.0026292
480.0   200.0   0.0016646
720.0   40.0   0.0066105
920.0   380.0   0.0071855
560.0   300.0   0.0010948
640.0   80.0   0.0058631
720.0   20.0   0.0067590
440.0   20.0   0.0024822
720.0   400.0   0.0022809
760.0   420.0   0.0030447
600.0   80.0   0.0050594
1000.0   560.0   0.0054985
680.0   540.0   0.0001668
880.0   240.0   0.0067206
560.0   420.0   0.0002187
800.0   500.0   0.0024565
600.0   180.0   0.0040673
560.0   360.0   0.0005115
240.0   20.0   0.0001259
800.0   60.0   0.0066626
400.0   280.0   0.0001400
560.0   240.0   0.0023494
560.0   80.0   0.0043003
640.0   520.0   0.0001479
440.0   340.0   0.0000533
920.0   100.0   0.0070202
320.0   60.0   0.0004026
160.0   1   0.0000282
400.0   140.0   0.0008371
920.0   40.0   0.0067248
1000.0   80.0   0.0068318
880.0   680.0   0.0003708
880.0   420.0   0.0059851
720.0   220.0   0.0060947
1000.0   660.0   0.0029796
520.0   180.0   0.0025731
320.0   40.0   0.0007213
600.0   240.0   0.0032880
200.0   100.0   0.0000453
920.0   340.0   0.0072664
680.0   60.0   0.0062527
920.0   500.0   0.0053335
880.0   660.0   0.0003721
640.0   120.0   0.0056032
560.0   220.0   0.0027553
920.0   580.0   0.0037558
920.0   300.0   0.0068159
360.0   140.0   0.0005971
840.0   60.0   0.0070859
720.0   320.0   0.0046687
120.0   20.0   0.0000000
840.0   180.0   0.0067948
680.0   420.0   0.0014947
680.0   140.0   0.0059404
520.0   120.0   0.0031018
480.0   80.0   0.0029073
320.0   160.0   0.0001671
1000.0   440.0   0.0072055
640.0   20.0   0.0055775
720.0   300.0   0.0050569
480.0   300.0   0.0002518
840.0   420.0   0.0049382
400.0   160.0   0.0006473
320.0   80.0   0.0005552
480.0   20.0   0.0027534
960.0   200.0   0.0069288
160.0   60.0   0.0000567
880.0   60.0   0.0066354
960.0   560.0   0.0049793
760.0   160.0   0.0068143
960.0   300.0   0.0071761
600.0   500.0   0.0001464
960.0   440.0   0.0056873
400.0   260.0   0.0001397
520.0   40.0   0.0040704
840.0   280.0   0.0075066
800.0   460.0   0.0027593
400.0   120.0   0.0010269
640.0   480.0   0.0001850
520.0   80.0   0.0034417
760.0   200.0   0.0065948
720.0   560.0   0.0003156
1000.0   260.0   0.0070471
880.0   1   0.0068385
320.0   100.0   0.0004720
840.0   540.0   0.0023687
280.0   1   0.0004560
880.0   80.0   0.0072360
720.0   480.0   0.0007036
1000.0   140.0   0.0068704
640.0   140.0   0.0052859
840.0   1   0.0065814
760.0   60.0   0.0064722
520.0   260.0   0.0013582
160.0   20.0   0.0000142
640.0   500.0   0.0001665
800.0   160.0   0.0066150
400.0   40.0   0.0018218
360.0   60.0   0.0011052
720.0   440.0   0.0017806
920.0   480.0   0.0062108
360.0   20.0   0.0012363
520.0   1   0.0043046
560.0   380.0   0.0001641
200.0   1   0.0000451
400.0   1   0.0017123
600.0   20.0   0.0049841
480.0   320.0   0.0003056
800.0   440.0   0.0033358
960.0   460.0   0.0065695
760.0   140.0   0.0067950
680.0   360.0   0.0025692
800.0   600.0   0.0003352
880.0   580.0   0.0017943
680.0   560.0   0.0002036
760.0   340.0   0.0049767
280.0   140.0   0.0001309
880.0   340.0   0.0063536
600.0   480.0   0.0001101
200.0   40.0   0.0000301
1000.0   160.0   0.0068790
360.0   40.0   0.0008395
840.0   460.0   0.0048235
640.0   60.0   0.0060660
880.0   640.0   0.0007818
1000.0   340.0   0.0066107
600.0   140.0   0.0050677
560.0   280.0   0.0021277
960.0   580.0   0.0043347
720.0   340.0   0.0040993
320.0   200.0   0.0001516
480.0   100.0   0.0027932
320.0   1   0.0008401
640.0   320.0   0.0028035
960.0   540.0   0.0059817
760.0   540.0   0.0005941
640.0   260.0   0.0037547
840.0   440.0   0.0044364
920.0   660.0   0.0010435
880.0   120.0   0.0072567
960.0   320.0   0.0074757
560.0   40.0   0.0047583
760.0   560.0   0.0003533
760.0   40.0   0.0063242
960.0   380.0   0.0070046
760.0   360.0   0.0044533
920.0   540.0   0.0050685
960.0   100.0   0.0064994
640.0   360.0   0.0019176
800.0   360.0   0.0056563
720.0   540.0   0.0003353
920.0   400.0   0.0062577
640.0   240.0   0.0036898
680.0   1   0.0065777
1000.0   380.0   0.0074026
400.0   300.0   0.0001049
800.0   560.0   0.0006132
720.0   180.0   0.0060265
760.0   580.0   0.0002237
880.0   620.0   0.0012981
960.0   80.0   0.0068622
680.0   500.0   0.0001482
600.0   380.0   0.0006229
280.0   20.0   0.0003598
520.0   280.0   0.0008356
600.0   440.0   0.0003125
800.0   260.0   0.0063349
960.0   420.0   0.0066288
680.0   440.0   0.0009070
880.0   380.0   0.0061101
880.0   200.0   0.0073381
480.0   260.0   0.0006301
520.0   60.0   0.0037742
720.0   1   0.0061512
840.0   160.0   0.0057292
200.0   80.0   0.0000602
240.0   1   0.0001416
960.0   140.0   0.0076990
640.0   100.0   0.0054267
800.0   420.0   0.0044727
360.0   120.0   0.0006686
560.0   180.0   0.0033285
800.0   220.0   0.0068846
