#MA5 EffMap for txName: TChiWW , Analysis: cms_sus_13_012 , SR: 3NJet6_500HT800_200MHT300
# Mother  Daughter  Eff. 
520.0   100.0   0.0237710
600.0   440.0   0.0066000
600.0   380.0   0.0170300
520.0   160.0   0.0233241
240.0   1   0.0046305
440.0   380.0   0.0009130
680.0   60.0   0.0175852
800.0   240.0   0.0152312
440.0   1   0.0218775
680.0   560.0   0.0037573
360.0   340.0   0.0003258
120.0   100.0   0.0001743
440.0   240.0   0.0125102
480.0   1   0.0233766
560.0   200.0   0.0237676
400.0   180.0   0.0133289
720.0   420.0   0.0238987
240.0   80.0   0.0031266
600.0   60.0   0.0206500
800.0   480.0   0.0253342
480.0   20.0   0.0226648
440.0   280.0   0.0064243
440.0   160.0   0.0210459
560.0   520.0   0.0002400
320.0   40.0   0.0121100
200.0   140.0   0.0005010
760.0   340.0   0.0217676
400.0   80.0   0.0213102
320.0   300.0   0.0001000
760.0   600.0   0.0083191
800.0   680.0   0.0037574
400.0   360.0   0.0004950
720.0   560.0   0.0077046
280.0   160.0   0.0022345
480.0   240.0   0.0181084
480.0   140.0   0.0216187
680.0   80.0   0.0177176
520.0   260.0   0.0220573
40.0   20.0   0.0000000
360.0   80.0   0.0166809
480.0   340.0   0.0044201
600.0   260.0   0.0229300
480.0   200.0   0.0211572
720.0   460.0   0.0237765
480.0   300.0   0.0104311
560.0   500.0   0.0006500
560.0   380.0   0.0096700
560.0   300.0   0.0217123
240.0   20.0   0.0048320
520.0   320.0   0.0133798
520.0   400.0   0.0031589
360.0   240.0   0.0032901
480.0   260.0   0.0168047
480.0   220.0   0.0192383
800.0   600.0   0.0144747
760.0   560.0   0.0147294
360.0   1   0.0187492
520.0   340.0   0.0104281
240.0   60.0   0.0035825
400.0   340.0   0.0012351
800.0   620.0   0.0112603
800.0   700.0   0.0020148
760.0   80.0   0.0148511
800.0   300.0   0.0175558
600.0   560.0   0.0003100
680.0   580.0   0.0025076
640.0   80.0   0.0200781
600.0   120.0   0.0208900
480.0   360.0   0.0034087
640.0   480.0   0.0073220
480.0   420.0   0.0009924
680.0   440.0   0.0212683
520.0   1   0.0227314
640.0   100.0   0.0188800
640.0   280.0   0.0230600
720.0   360.0   0.0240772
200.0   180.0   0.0002383
800.0   40.0   0.0133265
600.0   20.0   0.0202900
400.0   260.0   0.0046792
720.0   120.0   0.0167937
240.0   40.0   0.0045091
800.0   400.0   0.0227661
720.0   140.0   0.0170149
640.0   600.0   0.0006328
280.0   180.0   0.0018186
760.0   640.0   0.0035643
560.0   360.0   0.0135400
640.0   420.0   0.0175451
760.0   280.0   0.0190457
640.0   160.0   0.0209600
800.0   280.0   0.0176016
280.0   240.0   0.0004853
240.0   180.0   0.0007715
680.0   640.0   0.0005770
720.0   220.0   0.0193402
320.0   80.0   0.0098700
560.0   220.0   0.0238031
760.0   40.0   0.0138782
640.0   320.0   0.0238500
360.0   220.0   0.0041462
640.0   360.0   0.0232200
800.0   1   0.0127144
520.0   420.0   0.0022269
520.0   200.0   0.0233452
440.0   300.0   0.0045291
560.0   280.0   0.0225377
240.0   200.0   0.0003976
760.0   100.0   0.0158170
600.0   160.0   0.0219100
720.0   520.0   0.0148300
680.0   120.0   0.0181472
440.0   260.0   0.0093209
800.0   420.0   0.0215405
520.0   140.0   0.0243785
640.0   380.0   0.0218800
800.0   160.0   0.0145218
520.0   240.0   0.0212248
560.0   40.0   0.0209000
320.0   280.0   0.0001900
80.0   40.0   0.0000776
560.0   340.0   0.0165700
320.0   60.0   0.0116100
720.0   240.0   0.0186197
760.0   300.0   0.0201693
520.0   120.0   0.0227811
640.0   240.0   0.0235600
800.0   500.0   0.0254948
760.0   1   0.0136631
440.0   40.0   0.0231032
560.0   20.0   0.0226659
520.0   20.0   0.0234446
560.0   420.0   0.0039200
760.0   420.0   0.0248604
640.0   40.0   0.0200258
560.0   140.0   0.0232852
720.0   480.0   0.0213960
720.0   620.0   0.0024121
680.0   100.0   0.0180465
480.0   320.0   0.0076090
120.0   20.0   0.0001044
600.0   300.0   0.0228800
720.0   660.0   0.0010749
720.0   380.0   0.0239663
800.0   20.0   0.0126403
360.0   160.0   0.0096077
520.0   180.0   0.0234876
720.0   600.0   0.0039693
360.0   120.0   0.0152401
720.0   680.0   0.0006948
640.0   540.0   0.0021570
400.0   240.0   0.0056904
520.0   40.0   0.0237883
680.0   660.0   0.0004028
720.0   200.0   0.0189404
280.0   20.0   0.0092591
440.0   120.0   0.0216517
720.0   40.0   0.0163093
160.0   40.0   0.0007378
280.0   60.0   0.0081374
360.0   320.0   0.0004201
680.0   1   0.0174533
