#MA5 EffMap for txName: TChiZZ , Analysis: cms_sus_13_012 , SR: 8NJetinf_1000HT1250_200MHTinf
# Mother  Daughter  Eff. 
480.0   380.0   0.0000290
600.0   420.0   0.0000440
600.0   1   0.0000438
280.0   180.0   0.0000140
280.0   40.0   0.0000280
640.0   60.0   0.0000000
400.0   320.0   0.0000000
560.0   440.0   0.0000147
760.0   360.0   0.0000148
720.0   260.0   0.0000000
240.0   200.0   0.0000000
480.0   400.0   0.0000000
600.0   400.0   0.0000000
680.0   120.0   0.0000147
240.0   20.0   0.0000000
560.0   220.0   0.0000146
280.0   80.0   0.0000140
800.0   1   0.0000000
320.0   80.0   0.0000142
680.0   40.0   0.0000147
560.0   200.0   0.0000000
240.0   220.0   0.0000000
480.0   220.0   0.0000145
600.0   220.0   0.0000440
600.0   300.0   0.0000147
640.0   360.0   0.0000147
680.0   660.0   0.0000293
680.0   160.0   0.0000441
440.0   200.0   0.0000289
320.0   220.0   0.0000000
680.0   600.0   0.0000000
480.0   1   0.0000435
640.0   40.0   0.0000294
800.0   40.0   0.0000296
800.0   620.0   0.0000297
560.0   40.0   0.0000439
160.0   80.0   0.0000000
520.0   160.0   0.0000291
400.0   100.0   0.0000574
560.0   400.0   0.0000584
520.0   460.0   0.0000000
320.0   260.0   0.0000000
440.0   160.0   0.0000145
680.0   300.0   0.0000295
480.0   460.0   0.0000000
320.0   160.0   0.0000283
560.0   1   0.0000146
760.0   460.0   0.0000593
280.0   200.0   0.0000140
440.0   140.0   0.0001301
760.0   120.0   0.0000444
360.0   120.0   0.0000143
640.0   180.0   0.0000000
400.0   180.0   0.0000287
720.0   100.0   0.0000148
760.0   260.0   0.0000295
240.0   120.0   0.0000000
600.0   380.0   0.0001026
160.0   140.0   0.0000135
520.0   480.0   0.0000000
600.0   80.0   0.0000587
440.0   280.0   0.0000432
400.0   220.0   0.0000143
600.0   360.0   0.0000294
560.0   160.0   0.0000293
600.0   180.0   0.0000146
560.0   280.0   0.0000146
640.0   600.0   0.0000000
120.0   80.0   0.0000000
520.0   80.0   0.0000146
400.0   40.0   0.0000143
680.0   140.0   0.0000147
720.0   480.0   0.0000590
440.0   180.0   0.0000144
440.0   220.0   0.0000433
40.0   20.0   0.0000000
560.0   460.0   0.0000000
480.0   180.0   0.0000870
640.0   20.0   0.0000147
680.0   360.0   0.0000590
720.0   1   0.0000445
160.0   1   0.0000405
240.0   180.0   0.0000000
640.0   320.0   0.0000147
600.0   580.0   0.0000000
320.0   180.0   0.0000141
560.0   360.0   0.0000293
240.0   140.0   0.0000000
560.0   260.0   0.0000000
360.0   200.0   0.0000000
