mass[1000021]      RefXSec[fb]
100.000000      11879287.200000
125.000000      3953169.660000
150.000000      1560141.450000
175.000000      692935.479000
200.000000      584028.858067
225.000000      312051.881484
250.000000      174342.814922
275.000000      102486.198213
300.000000      61902.516230
325.000000      39005.387439
350.000000      24984.525293
375.000000      16311.165966
400.000000      10990.588980
425.000000      7419.377882
450.000000      5174.695934
475.000000      3631.104585
500.000000      2567.703068
525.000000      1831.919522
550.000000      1308.469535
575.000000      978.918311
600.000000      720.344272
625.000000      528.506780
650.000000      390.039399
675.000000      296.080664
700.000000      223.998416
725.000000      171.334843
750.000000      128.648143
775.000000      97.422718
800.000000      76.628006
825.000000      58.897827
850.000000      45.765801
875.000000      35.288287
900.000000      27.731714
925.000000      22.276955
950.000000      17.569740
975.000000      13.491414
1000.000000      10.973220
1025.000000      8.367030
1050.000000      6.582603
1075.000000      5.241774
1100.000000      4.313029
1125.000000      3.310525
1150.000000      2.475127
1175.000000      2.113614
1200.000000      1.645008
1225.000000      1.471003
1250.000000      1.059584
1275.000000      0.970432
1300.000000      0.810218
1325.000000      0.654944
1350.000000      0.434104
1375.000000      0.292654
1400.000000      0.179711
1425.000000      0.121119
1450.000000      0.122868
1475.000000      0.062841
1500.000000      0.063503
1525.000000      0.032576
1550.000000      0.033186
1575.000000      0.033635
1600.000000      0.034083
1625.000000      0.034933
1650.000000      0.035498
1675.000000      0.036475
1700.000000      0.037234
1725.000000      0.037923
