mass[1000024, 1000023]      RefXSec[fb]
100.000000      10490.000000
125.000000      4505.000000
150.000000      2236.000000
175.000000      1227.000000
200.000000      721.900000
225.000000      447.500000
250.000000      290.200000
275.000000      193.000000
300.000000      131.900000
325.000000      91.430000
350.000000      65.270000
375.000000      46.790000
400.000000      34.040000
425.000000      25.050000
450.000000      18.600000
475.000000      13.920000
500.000000      10.530000
525.000000      8.017000
550.000000      6.103000
575.000000      4.690000
600.000000      3.597000
625.000000      2.800000
650.000000      2.187000
675.000000      1.702000
700.000000      1.334000
725.000000      1.041000
750.000000      0.817800
775.000000      0.645800
800.000000      0.509100
825.000000      0.402500
850.000000      0.317200
875.000000      0.250600
900.000000      0.199900
925.000000      0.158600
950.000000      0.125600
975.000000      0.099850
1000.000000      0.079360
