#                prod                mhscp              mrec100 
                 1432                  250       0.182926147759 
                  607                  150                  0.0 
                 1605                 1600       0.193783553709 
                 3589                 3500      0.0113796623236 
                 2082                  700       0.473116707475 
                 3086                 3000      0.0237125186793 
                 5100                 2600      0.0499340319591 
                 3019                 1000       0.394092721317 
                 2564                 1000       0.439289514649 
                 2629                  150                  0.0 
                 4243                  900        0.23903092142 
                 1461                 1400       0.249073475472 
                  455                  450       0.449886251733 
                 4285                  450       0.076124029902 
                 3579                  800       0.284970708055 
                 2205                 2000      0.0945255061157 
                  503                  150                  0.0 
                 2212                 1600       0.185998349729 
                 1468                 1200       0.349133234319 
                 1531                 1500       0.205427839891 
                 2046                  350       0.188596867257 
                 3538                  900       0.314652486126 
                 1337                 1100       0.382164903893 
                 1217                  500        0.50621685226 
                  274                  250       0.370881500481 
                 3978                 3500     0.00907333004003 
                 3003                  250      0.0419360593727 
                 4262                  550       0.109701555241 
                 1571                 1400       0.239504782005 
                  905                  900       0.455466439844 
                 1631                 1600       0.189901214243 
                 2005                 2000       0.101950744118 
                 2972                  550       0.225307336788 
                  637                  500       0.459393641699 
                 3505                 3500      0.0120911686273 
                  494                  200       0.374024773137 
                 1473                 1300       0.304592096575 
                 2125                 1500       0.200817979821 
                 2692                 1500       0.215471360234 
                 2803                 1800       0.152656202521 
                 4602                 3500      0.0072437106044 
                 5100                 2400       0.059029036787 
                 1765                  300       0.181666005202 
                  852                  200       0.263208806471 
                  418                  150                  0.0 
                 4113                 4000     0.00462327569008 
                 2339                 2200      0.0571772379682 
                 2138                 1400       0.246922161708 
                 2432                 2200      0.0568173080876 
                  886                  150                  0.0 
                  449                  400       0.437686054929 
                 2730                 1400       0.254200347943 
                 5100                  450      0.0506412117415 
                 1755                 1200        0.36732954046 
                 3577                  400      0.0843288413138 
                 4366                  100                  0.0 
                 2565                 2200      0.0558719780417 
                  880                  400       0.491515297085 
                 4487                 3000      0.0194466882574 
                 3595                  450       0.107743164848 
                 3027                  300       0.062571317454 
                  205                  200       0.316933858053 
                 1968                 1200       0.382062343116 
                 5100                 1200       0.196358227831 
                 1659                 1400       0.237431007808 
                 5100                  900       0.154537155911 
                 2130                 1800       0.150412926081 
                 1685                 1300       0.309808282842 
                  588                  500       0.450161469116 
                 5100                  200     0.00950611282973 
                 1716                 1600       0.182778079918 
                  751                  550       0.482010543821 
                 2453                 1600       0.194607840889 
                 2497                  900       0.451306520008 
                 3451                 3000      0.0212914097803 
                  324                  300       0.405077518417 
                 1583                  900       0.488268564008 
                 4417                 2600      0.0423711737652 
                 3013                  450       0.149942792791 
                  576                  550       0.459756385898 
                 1033                  400       0.477525158879 
                 5100                  550      0.0750548526141 
                 2116                  450       0.282059839566 
                 3674                 1800       0.156741201055 
                 1490                  200        0.10391710991 
                 1759                 1100       0.410759476748 
                 2921                 2400      0.0402589082432 
                 1305                 1300       0.323287815606 
                  346                  100                  0.0 
                 1002                  900       0.434805992695 
                 5100                 4500    0.000834974049456 
                 4248                  700       0.166732608114 
                 4045                 4000     0.00494649582321 
                  218                  150                  0.0 
                  195                  100                  0.0 
                 4287                  250      0.0208231606529 
                 4252                  500      0.0896287358192 
                 2273                 1100       0.423946846534 
                 5100                 1500       0.174094211929 
                 2293                 1800       0.151111780784 
                  420                  250       0.409314235841 
                 1778                 1400       0.240883639789 
                 3103                 1500       0.218057133568 
                 3037                 3000      0.0240932891754 
                 3089                 1300       0.319312578612 
                 2534                 2400      0.0422705782067 
                 1472                  300       0.244211555365 
                 2989                  400       0.120715701698 
