Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	87.0	87.0	87.0		62.0	62.0	62.0	0.0
	100.0	100.0	100.0		50.0	50.0	50.0	0.0
	112.0	112.0	112.0		37.0	37.0	37.0	0.0
	150.0	150.0	150.0		0.0	0.0	0.0	0.0
	162.0	162.0	162.0		137.0	137.0	137.0	0.0
	175.0	175.0	175.0		125.0	125.0	125.0	0.0
	187.0	187.0	187.0		112.0	112.0	112.0	0.0
	225.0	225.0	225.0		75.0	75.0	75.0	0.0
	262.0	262.0	262.0		37.0	37.0	37.0	1.229E-4
	300.0	300.0	300.0		0.0	0.0	0.0	0.0
	237.0	237.0	237.0		212.0	212.0	212.0	0.0
	250.0	250.0	250.0		200.0	200.0	200.0	0.0
	262.0	262.0	262.0		187.0	187.0	187.0	4.538E-5
	300.0	300.0	300.0		150.0	150.0	150.0	3.701E-8
	337.0	337.0	337.0		112.0	112.0	112.0	7.345E-4
	375.0	375.0	375.0		75.0	75.0	75.0	0.001219
	412.0	412.0	412.0		37.0	37.0	37.0	0.002143
	450.0	450.0	450.0		0.0	0.0	0.0	0.004385
	312.0	312.0	312.0		287.0	287.0	287.0	0.0
	325.0	325.0	325.0		275.0	275.0	275.0	1.068E-4
	337.0	337.0	337.0		262.0	262.0	262.0	9.865E-5
	375.0	375.0	375.0		225.0	225.0	225.0	2.487E-4
	412.0	412.0	412.0		187.0	187.0	187.0	0.001033
	450.0	450.0	450.0		150.0	150.0	150.0	0.002392
	487.0	487.0	487.0		112.0	112.0	112.0	0.004132
	525.0	525.0	525.0		75.0	75.0	75.0	0.009271
	562.0	562.0	562.0		37.0	37.0	37.0	0.01577
	600.0	600.0	600.0		0.0	0.0	0.0	0.01593
	387.0	387.0	387.0		362.0	362.0	362.0	0.0
	400.0	400.0	400.0		350.0	350.0	350.0	7.274E-5
	412.0	412.0	412.0		337.0	337.0	337.0	4.237E-4
	450.0	450.0	450.0		300.0	300.0	300.0	9.662E-4
	487.0	487.0	487.0		262.0	262.0	262.0	0.002324
	525.0	525.0	525.0		225.0	225.0	225.0	0.003272
	562.0	562.0	562.0		187.0	187.0	187.0	0.009327
	600.0	600.0	600.0		150.0	150.0	150.0	0.01133
	637.0	637.0	637.0		112.0	112.0	112.0	0.0179
	675.0	675.0	675.0		75.0	75.0	75.0	0.02471
	712.0	712.0	712.0		37.0	37.0	37.0	0.04023
	750.0	750.0	750.0		0.0	0.0	0.0	0.03973
	412.0	412.0	412.0		387.0	387.0	387.0	0.0
	425.0	425.0	425.0		375.0	375.0	375.0	1.206E-4
	437.0	437.0	437.0		362.0	362.0	362.0	2.036E-4
	475.0	475.0	475.0		325.0	325.0	325.0	0.001014
	512.0	512.0	512.0		287.0	287.0	287.0	0.002283
	550.0	550.0	550.0		250.0	250.0	250.0	0.004008
	587.0	587.0	587.0		212.0	212.0	212.0	0.007774
	625.0	625.0	625.0		175.0	175.0	175.0	0.01499
	662.0	662.0	662.0		137.0	137.0	137.0	0.02235
	700.0	700.0	700.0		100.0	100.0	100.0	0.02762
	737.0	737.0	737.0		62.0	62.0	62.0	0.03631
	775.0	775.0	775.0		25.0	25.0	25.0	0.04215
	437.0	437.0	437.0		412.0	412.0	412.0	1.636E-7
	450.0	450.0	450.0		400.0	400.0	400.0	1.404E-4
	462.0	462.0	462.0		387.0	387.0	387.0	2.492E-4
	500.0	500.0	500.0		350.0	350.0	350.0	9.133E-4
	537.0	537.0	537.0		312.0	312.0	312.0	0.002162
	575.0	575.0	575.0		275.0	275.0	275.0	0.005753
	612.0	612.0	612.0		237.0	237.0	237.0	0.01003
	650.0	650.0	650.0		200.0	200.0	200.0	0.02057
	687.0	687.0	687.0		162.0	162.0	162.0	0.02125
	725.0	725.0	725.0		125.0	125.0	125.0	0.03061
	762.0	762.0	762.0		87.0	87.0	87.0	0.03467
	800.0	800.0	800.0		50.0	50.0	50.0	0.04656
	837.0	837.0	837.0		12.0	12.0	12.0	0.04526
	462.0	462.0	462.0		437.0	437.0	437.0	1.416E-4
	475.0	475.0	475.0		425.0	425.0	425.0	1.018E-4
	487.0	487.0	487.0		412.0	412.0	412.0	2.509E-4
	525.0	525.0	525.0		375.0	375.0	375.0	5.74E-4
	562.0	562.0	562.0		337.0	337.0	337.0	0.003081
	600.0	600.0	600.0		300.0	300.0	300.0	0.005827
	637.0	637.0	637.0		262.0	262.0	262.0	0.008831
	675.0	675.0	675.0		225.0	225.0	225.0	0.01382
	712.0	712.0	712.0		187.0	187.0	187.0	0.02496
	750.0	750.0	750.0		150.0	150.0	150.0	0.03263
	787.0	787.0	787.0		112.0	112.0	112.0	0.04113
	825.0	825.0	825.0		75.0	75.0	75.0	0.04267
	862.0	862.0	862.0		37.0	37.0	37.0	0.0464
