#MA5 EffMap for txName: T1bbbb , Analysis: atlas_susy_2013_04 , SR: 8j50,>=2bjets
# Mother  Daughter  Eff. 
900.0   640.0   0.0017524
300.0   120.0   0.0003392
420.0   360.0   0.0000000
1200.0   1   0.0181193
1620.0   360.0   0.0202423
1500.0   80.0   0.0213334
1260.0   80.0   0.0170717
1680.0   560.0   0.0165824
1260.0   600.0   0.0088060
1500.0   280.0   0.0191425
120.0   80.0   0.0000000
960.0   680.0   0.0024386
840.0   600.0   0.0016713
1020.0   560.0   0.0049788
1200.0   240.0   0.0154162
540.0   440.0   0.0001280
900.0   240.0   0.0093297
420.0   1   0.0023213
1260.0   120.0   0.0167554
600.0   80.0   0.0054260
1380.0   600.0   0.0104377
360.0   1   0.0009318
780.0   240.0   0.0067249
480.0   280.0   0.0010191
1260.0   160.0   0.0161307
1620.0   600.0   0.0149345
1260.0   680.0   0.0067080
1320.0   600.0   0.0095558
1440.0   320.0   0.0181492
960.0   480.0   0.0057428
1500.0   520.0   0.0149141
1020.0   640.0   0.0040510
1500.0   480.0   0.0151186
420.0   40.0   0.0019871
1620.0   1   0.0234877
480.0   160.0   0.0023147
1440.0   240.0   0.0188789
1680.0   40.0   0.0243412
1680.0   160.0   0.0226844
1680.0   680.0   0.0148509
1260.0   640.0   0.0077020
840.0   200.0   0.0087199
1200.0   160.0   0.0171014
840.0   560.0   0.0021342
1560.0   240.0   0.0207138
1380.0   280.0   0.0167359
960.0   200.0   0.0104648
1080.0   160.0   0.0143956
720.0   1   0.0086147
660.0   120.0   0.0062619
1440.0   280.0   0.0185825
1560.0   440.0   0.0171353
840.0   360.0   0.0055802
720.0   520.0   0.0010633
900.0   680.0   0.0011505
1560.0   600.0   0.0135850
480.0   400.0   0.0000727
1320.0   680.0   0.0086786
1200.0   680.0   0.0059406
1440.0   120.0   0.0206126
1560.0   640.0   0.0131250
780.0   400.0   0.0034470
780.0   440.0   0.0024936
1500.0   360.0   0.0189167
660.0   440.0   0.0011921
1560.0   520.0   0.0156446
600.0   440.0   0.0006269
1080.0   440.0   0.0090378
1260.0   360.0   0.0129594
1620.0   160.0   0.0230687
1500.0   560.0   0.0127450
1620.0   560.0   0.0168642
960.0   560.0   0.0047266
1080.0   480.0   0.0074346
1020.0   1   0.0145179
1320.0   40.0   0.0209369
1500.0   160.0   0.0204869
360.0   240.0   0.0001238
1560.0   200.0   0.0219554
840.0   120.0   0.0100156
900.0   440.0   0.0053411
540.0   480.0   0.0000183
540.0   360.0   0.0006757
1320.0   200.0   0.0180716
1260.0   480.0   0.0103783
900.0   400.0   0.0059362
780.0   280.0   0.0066919
1380.0   1   0.0205654
720.0   600.0   0.0002012
1680.0   640.0   0.0152424
1020.0   440.0   0.0076529
660.0   400.0   0.0017825
1320.0   640.0   0.0088490
180.0   120.0   0.0000150
600.0   320.0   0.0020921
780.0   40.0   0.0098068
1140.0   240.0   0.0148138
540.0   40.0   0.0044200
1680.0   520.0   0.0171927
660.0   320.0   0.0032685
1200.0   320.0   0.0135098
600.0   240.0   0.0033119
240.0   80.0   0.0000973
1260.0   40.0   0.0193355
540.0   320.0   0.0010260
660.0   480.0   0.0008611
780.0   160.0   0.0091915
1200.0   440.0   0.0105963
1020.0   600.0   0.0046789
1320.0   440.0   0.0131987
1140.0   560.0   0.0075810
1680.0   1   0.0253018
900.0   1   0.0123725
1200.0   80.0   0.0186828
660.0   360.0   0.0021094
1140.0   480.0   0.0095506
1200.0   200.0   0.0157445
420.0   160.0   0.0010941
360.0   160.0   0.0003861
1200.0   40.0   0.0182243
1500.0   320.0   0.0176720
360.0   280.0   0.0000176
1560.0   320.0   0.0197979
1080.0   120.0   0.0148453
900.0   600.0   0.0025199
780.0   480.0   0.0022480
540.0   120.0   0.0037370
900.0   520.0   0.0035290
900.0   200.0   0.0094646
1080.0   360.0   0.0110113
780.0   680.0   0.0002368
960.0   40.0   0.0131617
960.0   320.0   0.0087812
480.0   240.0   0.0008546
1080.0   560.0   0.0062444
1140.0   440.0   0.0102875
1440.0   40.0   0.0206066
1560.0   160.0   0.0216813
1020.0   680.0   0.0034072
1380.0   160.0   0.0193305
1440.0   520.0   0.0142118
1260.0   560.0   0.0093770
960.0   640.0   0.0029351
900.0   80.0   0.0116189
840.0   480.0   0.0036783
180.0   80.0   0.0000300
360.0   40.0   0.0010894
1140.0   320.0   0.0124080
1140.0   640.0   0.0059384
1260.0   1   0.0196530
840.0   400.0   0.0043760
900.0   120.0   0.0117260
120.0   40.0   0.0000000
1320.0   280.0   0.0175183
780.0   200.0   0.0073732
300.0   200.0   0.0001027
300.0   40.0   0.0006935
900.0   360.0   0.0071444
1440.0   600.0   0.0111608
1500.0   200.0   0.0200655
1380.0   680.0   0.0089416
720.0   320.0   0.0044668
1680.0   80.0   0.0243961
1020.0   400.0   0.0086906
1140.0   680.0   0.0051784
1620.0   280.0   0.0205582
600.0   560.0   0.0000000
1200.0   480.0   0.0108162
1020.0   320.0   0.0101268
240.0   120.0   0.0001134
1680.0   200.0   0.0235986
1200.0   600.0   0.0077566
1620.0   480.0   0.0183279
1320.0   480.0   0.0131786
1260.0   440.0   0.0118603
360.0   80.0   0.0010501
540.0   240.0   0.0016540
1500.0   600.0   0.0129498
840.0   520.0   0.0029473
1020.0   280.0   0.0107749
480.0   1   0.0027390
780.0   600.0   0.0010227
1620.0   80.0   0.0239703
1080.0   200.0   0.0141589
1080.0   400.0   0.0096451
1320.0   160.0   0.0178786
1560.0   560.0   0.0154555
900.0   280.0   0.0081861
1500.0   440.0   0.0169589
1200.0   400.0   0.0116008
1620.0   520.0   0.0168865
720.0   640.0   0.0000915
1440.0   80.0   0.0206910
720.0   80.0   0.0077746
900.0   40.0   0.0115402
420.0   240.0   0.0005740
360.0   200.0   0.0002108
660.0   600.0   0.0000183
1560.0   120.0   0.0222215
1500.0   40.0   0.0223111
960.0   120.0   0.0127620
540.0   520.0   0.0000000
960.0   520.0   0.0045680
960.0   400.0   0.0077846
1260.0   520.0   0.0103179
780.0   120.0   0.0090959
1680.0   360.0   0.0205607
1560.0   480.0   0.0151064
960.0   360.0   0.0089038
1320.0   520.0   0.0121467
720.0   360.0   0.0034680
780.0   640.0   0.0004209
660.0   40.0   0.0069580
840.0   240.0   0.0077248
420.0   280.0   0.0003947
540.0   80.0   0.0039443
720.0   480.0   0.0014854
1680.0   240.0   0.0233897
1320.0   360.0   0.0147456
1260.0   280.0   0.0153603
1140.0   1   0.0169250
1440.0   200.0   0.0197601
360.0   320.0   0.0000000
1020.0   120.0   0.0138405
300.0   1   0.0005629
1500.0   240.0   0.0197558
420.0   320.0   0.0001077
420.0   120.0   0.0013299
1080.0   80.0   0.0152522
1560.0   80.0   0.0229876
1080.0   680.0   0.0040346
1380.0   400.0   0.0148829
1140.0   120.0   0.0159897
600.0   360.0   0.0014940
720.0   440.0   0.0021511
240.0   1   0.0003394
1020.0   80.0   0.0133013
660.0   280.0   0.0038068
1200.0   120.0   0.0176860
600.0   40.0   0.0056350
1680.0   480.0   0.0183448
600.0   520.0   0.0000734
480.0   40.0   0.0032720
660.0   160.0   0.0060152
960.0   80.0   0.0132121
1020.0   360.0   0.0094976
720.0   120.0   0.0081475
1620.0   440.0   0.0168667
540.0   400.0   0.0002201
1020.0   40.0   0.0145360
600.0   160.0   0.0046637
240.0   160.0   0.0000162
1500.0   680.0   0.0112269
1440.0   480.0   0.0148736
300.0   240.0   0.0000170
1320.0   320.0   0.0164326
600.0   1   0.0059902
660.0   1   0.0069993
1500.0   120.0   0.0214416
600.0   400.0   0.0010492
480.0   360.0   0.0001641
720.0   680.0   0.0000000
780.0   560.0   0.0013148
420.0   80.0   0.0019498
1320.0   400.0   0.0137930
300.0   160.0   0.0002878
1440.0   160.0   0.0207737
1380.0   200.0   0.0178996
600.0   480.0   0.0002395
1440.0   360.0   0.0167572
780.0   1   0.0091020
840.0   640.0   0.0010448
540.0   280.0   0.0013916
660.0   520.0   0.0003870
1560.0   40.0   0.0221478
840.0   80.0   0.0110809
1080.0   240.0   0.0124683
1620.0   640.0   0.0135886
1080.0   640.0   0.0046315
1680.0   600.0   0.0156646
960.0   600.0   0.0032405
720.0   560.0   0.0004958
240.0   40.0   0.0002432
1260.0   320.0   0.0145103
1680.0   400.0   0.0195934
1380.0   80.0   0.0204930
1140.0   400.0   0.0097189
1440.0   400.0   0.0164841
60.0   40.0   0.0000000
660.0   80.0   0.0059740
900.0   480.0   0.0044792
660.0   640.0   0.0000000
1440.0   640.0   0.0105578
1380.0   440.0   0.0144396
840.0   440.0   0.0041030
480.0   440.0   0.0000000
900.0   560.0   0.0030977
420.0   200.0   0.0010455
1440.0   680.0   0.0106517
1200.0   640.0   0.0074159
840.0   320.0   0.0067676
1320.0   560.0   0.0105461
1200.0   560.0   0.0094439
1020.0   240.0   0.0117662
540.0   1   0.0040600
1560.0   400.0   0.0187548
1380.0   40.0   0.0204415
1380.0   240.0   0.0192034
420.0   400.0   0.0000000
840.0   160.0   0.0093567
180.0   1   0.0000451
1140.0   280.0   0.0136003
1380.0   360.0   0.0159864
120.0   1   0.0000000
1080.0   520.0   0.0070811
1440.0   440.0   0.0145156
360.0   120.0   0.0006489
1080.0   280.0   0.0116002
480.0   80.0   0.0032717
780.0   320.0   0.0053783
1080.0   40.0   0.0162827
1620.0   680.0   0.0117753
1680.0   320.0   0.0207416
600.0   120.0   0.0051805
1320.0   80.0   0.0180982
1380.0   480.0   0.0119357
1500.0   400.0   0.0167868
1500.0   1   0.0230520
1140.0   80.0   0.0165369
1140.0   600.0   0.0070567
780.0   80.0   0.0096355
600.0   200.0   0.0036427
780.0   360.0   0.0049429
1320.0   1   0.0201502
1440.0   1   0.0218705
1200.0   520.0   0.0093181
1500.0   640.0   0.0113851
1020.0   200.0   0.0120625
1380.0   320.0   0.0170540
1080.0   1   0.0156053
780.0   520.0   0.0018663
1620.0   400.0   0.0201213
1680.0   440.0   0.0187211
1020.0   520.0   0.0058433
1020.0   160.0   0.0144594
1620.0   320.0   0.0198712
540.0   160.0   0.0028080
1620.0   40.0   0.0228497
480.0   120.0   0.0026996
720.0   160.0   0.0068011
660.0   200.0   0.0044354
1020.0   480.0   0.0068538
960.0   240.0   0.0103888
1620.0   200.0   0.0223133
1080.0   600.0   0.0054275
540.0   200.0   0.0025387
840.0   1   0.0111648
840.0   280.0   0.0074851
1560.0   280.0   0.0209107
720.0   240.0   0.0051596
240.0   200.0   0.0000000
720.0   40.0   0.0080956
1140.0   200.0   0.0145364
720.0   200.0   0.0070334
900.0   160.0   0.0107645
900.0   320.0   0.0082606
1440.0   560.0   0.0119639
300.0   80.0   0.0004248
1560.0   680.0   0.0116336
1080.0   320.0   0.0114648
480.0   200.0   0.0018453
1620.0   240.0   0.0215839
600.0   280.0   0.0023571
1200.0   280.0   0.0139966
960.0   1   0.0138621
1380.0   640.0   0.0100196
1380.0   560.0   0.0124230
300.0   280.0   0.0000000
1140.0   40.0   0.0162926
1680.0   280.0   0.0218535
180.0   160.0   0.0000000
60.0   1   0.0000000
480.0   320.0   0.0006753
1380.0   120.0   0.0192780
1680.0   120.0   0.0239324
1260.0   240.0   0.0161403
960.0   160.0   0.0115544
720.0   400.0   0.0027304
1140.0   520.0   0.0083719
1260.0   200.0   0.0155217
1140.0   160.0   0.0145479
1620.0   120.0   0.0230225
840.0   40.0   0.0112508
180.0   40.0   0.0000301
1140.0   360.0   0.0116802
840.0   680.0   0.0004173
1260.0   400.0   0.0126610
1320.0   240.0   0.0165682
960.0   280.0   0.0094766
1380.0   520.0   0.0127935
660.0   240.0   0.0041095
720.0   280.0   0.0048690
1560.0   1   0.0218553
660.0   560.0   0.0001470
1200.0   360.0   0.0124987
1320.0   120.0   0.0191921
960.0   440.0   0.0069632
1560.0   360.0   0.0180762
