## HSCPM1b efficiencies
## x    effi
5.500000e+02  6.418754e-01
6.000000e+02  6.594698e-01
6.500000e+02  6.732747e-01
7.000000e+02  6.762771e-01
7.500000e+02  6.718196e-01
8.000000e+02  6.714543e-01
8.500000e+02  6.641833e-01
9.000000e+02  6.475009e-01
9.500000e+02  6.272289e-01
1.000000e+03  6.068621e-01
1.050000e+03  5.844725e-01
1.100000e+03  5.612996e-01
1.150000e+03  5.318489e-01
1.200000e+03  5.117235e-01
1.250000e+03  4.802268e-01
1.300000e+03  4.348345e-01
1.350000e+03  3.773474e-01
1.400000e+03  3.156448e-01
1.450000e+03  2.728867e-01
1.500000e+03  2.467242e-01
1.550000e+03  2.304116e-01
1.600000e+03  2.227371e-01
1.650000e+03  2.140934e-01
1.700000e+03  2.045837e-01
1.750000e+03  1.877031e-01
1.800000e+03  1.671022e-01
1.850000e+03  1.451007e-01
1.900000e+03  1.215535e-01
1.950000e+03  1.010948e-01
2.000000e+03  8.383188e-02
2.100000e+03  5.868506e-02
2.200000e+03  4.165397e-02
2.300000e+03  3.032707e-02
2.400000e+03  2.359311e-02
2.500000e+03  1.955442e-02
