#MA5 EffMap for txName: T1btbt , Analysis: cms_sus_13_012 , SR: 6NJet8_1000HT1250_450MHTinf
# Mother  Daughter  Eff. 
1250.0   640.0   0.0202373
900.0   360.0   0.0074658
1650.0   640.0   0.0366903
250.0   40.0   0.0000000
1050.0   1   0.0048457
1100.0   440.0   0.0243224
1150.0   480.0   0.0270908
700.0   1   0.0014867
650.0   80.0   0.0036940
1550.0   600.0   0.0391731
1200.0   120.0   0.0279453
1350.0   600.0   0.0426962
1450.0   80.0   0.0150552
1300.0   1   0.0032864
700.0   520.0   0.0010382
1450.0   40.0   0.0153102
800.0   1   0.0024298
1350.0   480.0   0.0433726
550.0   360.0   0.0001295
1400.0   280.0   0.0275057
1200.0   280.0   0.0382814
800.0   520.0   0.0012401
1550.0   40.0   0.0115214
1050.0   600.0   0.0044564
1250.0   360.0   0.0386812
1150.0   640.0   0.0088450
1000.0   160.0   0.0276342
1000.0   280.0   0.0271875
1450.0   320.0   0.0258897
900.0   560.0   0.0025537
900.0   80.0   0.0190808
750.0   240.0   0.0039978
500.0   160.0   0.0004365
600.0   40.0   0.0016267
1000.0   600.0   0.0036326
850.0   200.0   0.0148377
850.0   280.0   0.0087756
900.0   40.0   0.0199766
1600.0   520.0   0.0309718
600.0   280.0   0.0008768
650.0   360.0   0.0007789
1600.0   440.0   0.0213462
850.0   160.0   0.0145389
350.0   160.0   0.0000000
650.0   320.0   0.0013143
1050.0   240.0   0.0325453
1200.0   560.0   0.0264040
850.0   1   0.0030869
1000.0   640.0   0.0034199
1400.0   200.0   0.0250956
1150.0   400.0   0.0341178
950.0   1   0.0045928
1500.0   480.0   0.0317967
950.0   400.0   0.0106542
1700.0   400.0   0.0144328
1500.0   280.0   0.0222352
1100.0   400.0   0.0286122
1500.0   1   0.0017076
1450.0   680.0   0.0470746
1600.0   360.0   0.0174292
850.0   640.0   0.0003468
1350.0   40.0   0.0182580
1100.0   40.0   0.0264887
800.0   600.0   0.0010742
1400.0   640.0   0.0428147
1150.0   200.0   0.0369086
1000.0   1   0.0049638
1050.0   320.0   0.0279959
250.0   1   0.0000163
1350.0   360.0   0.0327965
750.0   520.0   0.0010018
1400.0   680.0   0.0434654
950.0   320.0   0.0190212
1550.0   560.0   0.0376545
850.0   240.0   0.0085397
1650.0   520.0   0.0228479
1650.0   40.0   0.0078484
700.0   240.0   0.0026104
1350.0   440.0   0.0412894
550.0   120.0   0.0007585
550.0   80.0   0.0008578
1500.0   120.0   0.0160474
1250.0   1   0.0036652
1500.0   320.0   0.0231092
1400.0   440.0   0.0359663
1100.0   320.0   0.0357543
500.0   120.0   0.0006563
900.0   200.0   0.0165510
700.0   320.0   0.0011072
1200.0   40.0   0.0243754
1100.0   1   0.0051391
1000.0   480.0   0.0087139
850.0   480.0   0.0023031
600.0   360.0   0.0006800
1300.0   560.0   0.0406488
800.0   120.0   0.0102218
600.0   160.0   0.0010741
1550.0   120.0   0.0147495
900.0   600.0   0.0016390
1100.0   240.0   0.0366748
1100.0   120.0   0.0307550
1450.0   1   0.0019226
550.0   160.0   0.0004331
1600.0   240.0   0.0140576
800.0   480.0   0.0013105
1350.0   1   0.0025280
800.0   200.0   0.0073394
1700.0   40.0   0.0076028
1150.0   680.0   0.0059178
1300.0   120.0   0.0220978
1350.0   560.0   0.0441918
700.0   480.0   0.0004523
1000.0   80.0   0.0273585
700.0   360.0   0.0004355
1000.0   440.0   0.0120366
1000.0   400.0   0.0166190
1300.0   640.0   0.0305428
300.0   80.0   0.0000000
700.0   160.0   0.0038023
1150.0   600.0   0.0114860
1100.0   480.0   0.0192906
400.0   160.0   0.0000000
1450.0   520.0   0.0423260
1700.0   520.0   0.0207371
1500.0   40.0   0.0112570
1600.0   400.0   0.0219261
900.0   240.0   0.0166050
500.0   320.0   0.0002058
1250.0   280.0   0.0362268
1350.0   400.0   0.0400782
850.0   360.0   0.0053619
650.0   400.0   0.0007894
950.0   240.0   0.0205177
1550.0   1   0.0015364
350.0   40.0   0.0001057
1050.0   680.0   0.0027274
1250.0   320.0   0.0398414
1500.0   160.0   0.0183433
750.0   360.0   0.0022637
1250.0   400.0   0.0413633
700.0   120.0   0.0048691
1250.0   200.0   0.0296640
1550.0   640.0   0.0433620
1450.0   560.0   0.0446852
1650.0   80.0   0.0098011
1400.0   240.0   0.0248806
800.0   360.0   0.0034361
1700.0   160.0   0.0108317
750.0   1   0.0016664
1700.0   240.0   0.0102136
750.0   400.0   0.0016390
1150.0   40.0   0.0234294
1200.0   600.0   0.0210882
1400.0   520.0   0.0437422
1650.0   280.0   0.0139021
1350.0   520.0   0.0440363
950.0   520.0   0.0029467
1150.0   320.0   0.0407365
950.0   80.0   0.0256600
1350.0   320.0   0.0331987
850.0   520.0   0.0023976
1050.0   360.0   0.0249506
1200.0   640.0   0.0147707
400.0   120.0   0.0001061
500.0   1   0.0001464
1300.0   280.0   0.0352410
300.0   120.0   0.0000000
900.0   640.0   0.0015089
550.0   40.0   0.0005413
1050.0   480.0   0.0131291
1150.0   560.0   0.0175384
950.0   600.0   0.0015913
1000.0   680.0   0.0012731
800.0   240.0   0.0063135
500.0   80.0   0.0008798
700.0   280.0   0.0020747
1150.0   360.0   0.0394497
1550.0   520.0   0.0303235
600.0   200.0   0.0019642
1200.0   440.0   0.0393293
1400.0   560.0   0.0445652
1650.0   240.0   0.0123598
1000.0   560.0   0.0038200
950.0   640.0   0.0017019
1450.0   160.0   0.0155642
1500.0   600.0   0.0404535
1200.0   680.0   0.0095824
500.0   240.0   0.0002193
1100.0   80.0   0.0302561
1150.0   520.0   0.0212395
1300.0   320.0   0.0342142
900.0   160.0   0.0193185
650.0   160.0   0.0025325
1650.0   160.0   0.0102108
800.0   560.0   0.0004502
1700.0   640.0   0.0274246
850.0   560.0   0.0014021
1600.0   1   0.0013340
850.0   600.0   0.0007617
1450.0   600.0   0.0466266
1350.0   80.0   0.0217220
1650.0   680.0   0.0360597
1650.0   320.0   0.0130293
1250.0   600.0   0.0275220
1400.0   160.0   0.0195614
1350.0   640.0   0.0424343
1400.0   600.0   0.0432013
1400.0   120.0   0.0178255
1350.0   160.0   0.0242104
1000.0   320.0   0.0224859
1550.0   680.0   0.0477501
850.0   320.0   0.0068389
