#MA5 EffMap for txName: T2tt , Analysis: cms_sus_13_012 , SR: 6NJet8_1250HT1500_200MHT300
# Mother  Daughter  Eff. 
760.0   620.0   0.0000742
600.0   260.0   0.0005519
920.0   520.0   0.0008202
520.0   320.0   0.0001811
200.0   60.0   0.0000000
1000.0   240.0   0.0012669
840.0   580.0   0.0005022
720.0   420.0   0.0005026
400.0   20.0   0.0004516
640.0   280.0   0.0007529
560.0   120.0   0.0005636
240.0   60.0   0.0000474
680.0   520.0   0.0000185
680.0   80.0   0.0011475
440.0   100.0   0.0003896
680.0   320.0   0.0008140
640.0   460.0   0.0000370
840.0   40.0   0.0011551
800.0   20.0   0.0010447
440.0   1   0.0005340
1000.0   620.0   0.0007628
1000.0   120.0   0.0013555
800.0   680.0   0.0000186
720.0   580.0   0.0000186
440.0   240.0   0.0001068
800.0   140.0   0.0011533
920.0   420.0   0.0010222
920.0   560.0   0.0007051
800.0   240.0   0.0011748
600.0   100.0   0.0008997
360.0   1   0.0003939
560.0   320.0   0.0002383
440.0   60.0   0.0004982
360.0   80.0   0.0003084
920.0   1   0.0012090
880.0   260.0   0.0012993
440.0   160.0   0.0001957
1000.0   680.0   0.0003727
680.0   160.0   0.0008913
680.0   40.0   0.0011083
400.0   100.0   0.0004530
640.0   180.0   0.0008454
880.0   40.0   0.0010673
840.0   640.0   0.0000932
280.0   120.0   0.0000326
760.0   640.0   0.0000000
880.0   560.0   0.0003928
760.0   480.0   0.0004501
640.0   440.0   0.0001288
960.0   60.0   0.0010652
840.0   320.0   0.0010248
280.0   40.0   0.0000981
560.0   100.0   0.0006034
880.0   160.0   0.0015683
960.0   240.0   0.0009685
840.0   240.0   0.0012015
400.0   200.0   0.0001049
760.0   600.0   0.0000373
640.0   540.0   0.0000000
520.0   360.0   0.0000364
680.0   260.0   0.0009142
560.0   400.0   0.0000182
360.0   180.0   0.0001034
480.0   1   0.0007574
560.0   440.0   0.0000000
840.0   340.0   0.0008597
800.0   1   0.0012630
360.0   160.0   0.0001543
440.0   300.0   0.0000533
1000.0   580.0   0.0007631
880.0   600.0   0.0003906
520.0   20.0   0.0005060
440.0   280.0   0.0000709
640.0   380.0   0.0002964
680.0   120.0   0.0011161
1000.0   20.0   0.0014278
880.0   140.0   0.0010668
680.0   240.0   0.0010024
720.0   200.0   0.0012367
800.0   280.0   0.0010624
560.0   260.0   0.0003279
880.0   300.0   0.0008632
720.0   100.0   0.0011411
800.0   320.0   0.0009107
680.0   220.0   0.0007747
680.0   100.0   0.0011693
560.0   340.0   0.0001096
840.0   380.0   0.0013341
920.0   160.0   0.0013010
280.0   100.0   0.0000817
1000.0   360.0   0.0013807
160.0   40.0   0.0000000
680.0   280.0   0.0006849
280.0   180.0   0.0000000
480.0   40.0   0.0006266
680.0   300.0   0.0010020
800.0   640.0   0.0000560
800.0   80.0   0.0014330
840.0   300.0   0.0009701
720.0   600.0   0.0000370
640.0   340.0   0.0005744
720.0   160.0   0.0012456
560.0   460.0   0.0000182
920.0   120.0   0.0012811
720.0   520.0   0.0001670
720.0   240.0   0.0009661
600.0   460.0   0.0000183
920.0   280.0   0.0011970
320.0   140.0   0.0001174
640.0   420.0   0.0001663
920.0   600.0   0.0004446
240.0   100.0   0.0000314
400.0   240.0   0.0000351
520.0   420.0   0.0000000
520.0   140.0   0.0005073
840.0   520.0   0.0003355
840.0   260.0   0.0013415
440.0   120.0   0.0004065
960.0   640.0   0.0005232
480.0   140.0   0.0004116
720.0   260.0   0.0011166
880.0   320.0   0.0011939
840.0   660.0   0.0000372
400.0   180.0   0.0002276
840.0   600.0   0.0002598
400.0   60.0   0.0005573
760.0   460.0   0.0006711
760.0   380.0   0.0008168
880.0   400.0   0.0011405
880.0   480.0   0.0007670
240.0   120.0   0.0000000
920.0   620.0   0.0004290
560.0   60.0   0.0007316
240.0   80.0   0.0000785
120.0   1   0.0000000
760.0   320.0   0.0009486
520.0   380.0   0.0000181
680.0   580.0   0.0000185
600.0   420.0   0.0001103
760.0   440.0   0.0004845
840.0   620.0   0.0002044
400.0   80.0   0.0002093
800.0   120.0   0.0011135
480.0   240.0   0.0001984
640.0   220.0   0.0009047
720.0   360.0   0.0008688
760.0   500.0   0.0002787
440.0   200.0   0.0002482
840.0   500.0   0.0005614
480.0   360.0   0.0000000
320.0   220.0   0.0000168
240.0   140.0   0.0000000
960.0   520.0   0.0010607
520.0   400.0   0.0000728
760.0   260.0   0.0011902
840.0   200.0   0.0012708
840.0   80.0   0.0012545
440.0   260.0   0.0001606
720.0   120.0   0.0012293
560.0   1   0.0005658
600.0   160.0   0.0008200
960.0   120.0   0.0009336
600.0   120.0   0.0009376
440.0   320.0   0.0000531
520.0   200.0   0.0005077
480.0   200.0   0.0002685
720.0   40.0   0.0014628
920.0   380.0   0.0010741
560.0   300.0   0.0004379
640.0   80.0   0.0010173
720.0   20.0   0.0010000
440.0   20.0   0.0005179
720.0   400.0   0.0004822
760.0   420.0   0.0006351
600.0   80.0   0.0006758
1000.0   560.0   0.0007988
680.0   540.0   0.0000185
880.0   240.0   0.0010211
560.0   420.0   0.0000547
800.0   500.0   0.0003722
600.0   180.0   0.0006809
560.0   360.0   0.0001279
240.0   20.0   0.0000629
800.0   60.0   0.0012504
400.0   280.0   0.0000175
560.0   240.0   0.0004589
560.0   80.0   0.0007835
640.0   520.0   0.0000370
440.0   340.0   0.0000355
920.0   100.0   0.0011420
320.0   60.0   0.0001174
160.0   1   0.0000141
400.0   140.0   0.0003139
920.0   40.0   0.0010432
1000.0   80.0   0.0011355
880.0   680.0   0.0000742
880.0   420.0   0.0008178
720.0   220.0   0.0010406
1000.0   660.0   0.0005182
520.0   180.0   0.0005798
320.0   40.0   0.0002013
600.0   240.0   0.0006280
200.0   100.0   0.0000302
920.0   340.0   0.0011924
680.0   60.0   0.0008669
920.0   500.0   0.0007433
880.0   660.0   0.0002419
640.0   120.0   0.0011095
560.0   220.0   0.0004927
920.0   580.0   0.0006508
920.0   300.0   0.0009125
360.0   140.0   0.0001535
840.0   60.0   0.0012647
720.0   320.0   0.0005580
120.0   20.0   0.0000000
840.0   180.0   0.0012354
680.0   420.0   0.0003322
680.0   140.0   0.0010363
520.0   120.0   0.0007437
480.0   80.0   0.0005922
320.0   160.0   0.0001003
1000.0   440.0   0.0009682
640.0   20.0   0.0011266
720.0   300.0   0.0007780
480.0   300.0   0.0001079
840.0   420.0   0.0010288
