#MA5 EffMap for txName: T2tt , Analysis: cms_sus_13_012 , SR: 6NJet8_1250HT1500_450MHTinf
# Mother  Daughter  Eff. 
760.0   620.0   0.0002968
600.0   260.0   0.0006623
920.0   520.0   0.0021064
520.0   320.0   0.0001992
200.0   60.0   0.0000000
1000.0   240.0   0.0096320
840.0   580.0   0.0007999
720.0   420.0   0.0006701
400.0   20.0   0.0001563
640.0   280.0   0.0008263
560.0   120.0   0.0011271
240.0   60.0   0.0000000
680.0   520.0   0.0002039
680.0   80.0   0.0029429
440.0   100.0   0.0001771
680.0   320.0   0.0009435
640.0   460.0   0.0002773
840.0   40.0   0.0065954
800.0   20.0   0.0051860
440.0   1   0.0002670
1000.0   620.0   0.0018419
1000.0   120.0   0.0092842
800.0   680.0   0.0002238
720.0   580.0   0.0001487
440.0   240.0   0.0000890
800.0   140.0   0.0048365
920.0   420.0   0.0037356
920.0   560.0   0.0018184
800.0   240.0   0.0034870
600.0   100.0   0.0013036
360.0   1   0.0000856
560.0   320.0   0.0002933
440.0   60.0   0.0001779
360.0   80.0   0.0000685
920.0   1   0.0079607
880.0   260.0   0.0050858
440.0   160.0   0.0002490
1000.0   680.0   0.0014908
680.0   160.0   0.0023582
680.0   40.0   0.0023829
400.0   100.0   0.0002091
640.0   180.0   0.0012865
880.0   40.0   0.0072464
840.0   640.0   0.0005780
280.0   120.0   0.0000326
760.0   640.0   0.0001491
880.0   560.0   0.0008791
760.0   480.0   0.0008814
640.0   440.0   0.0005151
960.0   60.0   0.0083718
840.0   320.0   0.0034845
280.0   40.0   0.0000327
560.0   100.0   0.0008777
880.0   160.0   0.0068521
960.0   240.0   0.0074684
840.0   240.0   0.0041866
400.0   200.0   0.0001049
760.0   600.0   0.0002612
640.0   540.0   0.0001657
520.0   360.0   0.0000728
680.0   260.0   0.0012314
560.0   400.0   0.0002362
360.0   180.0   0.0000689
480.0   1   0.0004689
560.0   440.0   0.0000915
840.0   340.0   0.0027472
800.0   1   0.0056835
360.0   160.0   0.0000514
440.0   300.0   0.0000711
1000.0   580.0   0.0024381
880.0   600.0   0.0008742
520.0   20.0   0.0005602
440.0   280.0   0.0001596
