#MA5 EffMap for txName: TChiWW , Analysis: cms_sus_13_012 , SR: 3NJet6_1000HT1250_600MHTinf
# Mother  Daughter  Eff. 
520.0   100.0   0.0007450
600.0   440.0   0.0000100
600.0   380.0   0.0000600
520.0   160.0   0.0004374
240.0   1   0.0000000
440.0   380.0   0.0000692
680.0   60.0   0.0054375
800.0   240.0   0.0083132
440.0   1   0.0004566
680.0   560.0   0.0000864
360.0   340.0   0.0000679
120.0   100.0   0.0000116
440.0   240.0   0.0001248
480.0   1   0.0006019
560.0   200.0   0.0007529
400.0   180.0   0.0000960
720.0   420.0   0.0006679
240.0   80.0   0.0000386
600.0   60.0   0.0018700
800.0   480.0   0.0007005
480.0   20.0   0.0004909
440.0   280.0   0.0000555
440.0   160.0   0.0003332
560.0   520.0   0.0000200
320.0   40.0   0.0000400
200.0   140.0   0.0000250
760.0   340.0   0.0024267
400.0   80.0   0.0001509
320.0   300.0   0.0000000
760.0   600.0   0.0002768
800.0   680.0   0.0002039
400.0   360.0   0.0000963
720.0   560.0   0.0003634
280.0   160.0   0.0000000
480.0   240.0   0.0001962
480.0   140.0   0.0003496
680.0   80.0   0.0050437
520.0   260.0   0.0002964
40.0   20.0   0.0000000
360.0   80.0   0.0001488
480.0   340.0   0.0000558
600.0   260.0   0.0004600
480.0   200.0   0.0002379
720.0   460.0   0.0003753
480.0   300.0   0.0000983
560.0   500.0   0.0000100
560.0   380.0   0.0000300
560.0   300.0   0.0002838
240.0   20.0   0.0000128
520.0   320.0   0.0001410
520.0   400.0   0.0000987
360.0   240.0   0.0000271
480.0   260.0   0.0001395
480.0   220.0   0.0001957
800.0   600.0   0.0003046
760.0   560.0   0.0003348
360.0   1   0.0000541
520.0   340.0   0.0001411
240.0   60.0   0.0000000
400.0   340.0   0.0000686
800.0   620.0   0.0002632
800.0   700.0   0.0002190
760.0   80.0   0.0096438
800.0   300.0   0.0054308
600.0   560.0   0.0000000
680.0   580.0   0.0001873
640.0   80.0   0.0033320
600.0   120.0   0.0014500
480.0   360.0   0.0000982
640.0   480.0   0.0001438
480.0   420.0   0.0001118
680.0   440.0   0.0003746
520.0   1   0.0011288
640.0   100.0   0.0025400
640.0   280.0   0.0005600
720.0   360.0   0.0012299
200.0   180.0   0.0000251
800.0   40.0   0.0137790
600.0   20.0   0.0021000
400.0   260.0   0.0000684
720.0   120.0   0.0060237
240.0   40.0   0.0000386
800.0   400.0   0.0021042
720.0   140.0   0.0056474
640.0   600.0   0.0000575
280.0   180.0   0.0000262
760.0   640.0   0.0001594
560.0   360.0   0.0000300
640.0   420.0   0.0002726
760.0   280.0   0.0040250
640.0   160.0   0.0019300
800.0   280.0   0.0066225
280.0   240.0   0.0000131
240.0   180.0   0.0000129
680.0   640.0   0.0001154
720.0   220.0   0.0043284
320.0   80.0   0.0000200
560.0   220.0   0.0005245
760.0   40.0   0.0098612
640.0   320.0   0.0003600
360.0   220.0   0.0000813
640.0   360.0   0.0002800
800.0   1   0.0132107
520.0   420.0   0.0001550
520.0   200.0   0.0002544
440.0   300.0   0.0000693
560.0   280.0   0.0002262
240.0   200.0   0.0000257
760.0   100.0   0.0092581
600.0   160.0   0.0011700
720.0   520.0   0.0003334
680.0   120.0   0.0042122
440.0   260.0   0.0000554
800.0   420.0   0.0018072
520.0   140.0   0.0006352
640.0   380.0   0.0001100
800.0   160.0   0.0106988
520.0   240.0   0.0002672
560.0   40.0   0.0012400
320.0   280.0   0.0000000
80.0   40.0   0.0000000
560.0   340.0   0.0000400
320.0   60.0   0.0000600
720.0   240.0   0.0034551
760.0   300.0   0.0033107
520.0   120.0   0.0005925
640.0   240.0   0.0011200
800.0   500.0   0.0010883
760.0   1   0.0104003
440.0   40.0   0.0004560
560.0   20.0   0.0016484
520.0   20.0   0.0009175
560.0   420.0   0.0000100
760.0   420.0   0.0010177
640.0   40.0   0.0035433
560.0   140.0   0.0009803
720.0   480.0   0.0002886
720.0   620.0   0.0003033
680.0   100.0   0.0046202
480.0   320.0   0.0001119
120.0   20.0   0.0000000
600.0   300.0   0.0002300
720.0   660.0   0.0001162
720.0   380.0   0.0011171
800.0   20.0   0.0135755
360.0   160.0   0.0000271
520.0   180.0   0.0007049
720.0   600.0   0.0001883
360.0   120.0   0.0000814
720.0   680.0   0.0001592
640.0   540.0   0.0001869
400.0   240.0   0.0000411
520.0   40.0   0.0011308
680.0   660.0   0.0000575
720.0   200.0   0.0040164
280.0   20.0   0.0001048
440.0   120.0   0.0001109
720.0   40.0   0.0080965
160.0   40.0   0.0000000
280.0   60.0   0.0000393
360.0   320.0   0.0000813
680.0   1   0.0049578
560.0   240.0   0.0004545
360.0   100.0   0.0000813
760.0   500.0   0.0004383
360.0   40.0   0.0001486
400.0   160.0   0.0001097
280.0   220.0   0.0000131
760.0   400.0   0.0011039
720.0   80.0   0.0070820
480.0   460.0   0.0000560
560.0   1   0.0015620
120.0   80.0   0.0000000
680.0   260.0   0.0016886
600.0   200.0   0.0007400
720.0   280.0   0.0024704
600.0   280.0   0.0002900
680.0   320.0   0.0012266
400.0   120.0   0.0001780
520.0   280.0   0.0002536
720.0   1   0.0078491
600.0   40.0   0.0020200
