#MA5 EffMap for txName: TChiWZ , Analysis: cms_sus_13_012 , SR: 3NJet6_1000HT1250_200MHT300
# Mother  Daughter  Eff. 
80.0   40.0   0.0000111
960.0   500.0   0.0027024
600.0   460.0   0.0000570
680.0   60.0   0.0025114
920.0   240.0   0.0029425
440.0   80.0   0.0010539
800.0   500.0   0.0009700
880.0   580.0   0.0010755
440.0   380.0   0.0000000
880.0   480.0   0.0019293
880.0   540.0   0.0012762
840.0   600.0   0.0004064
600.0   380.0   0.0004587
520.0   1   0.0017521
520.0   20.0   0.0017796
880.0   280.0   0.0028324
920.0   400.0   0.0027962
800.0   240.0   0.0025473
320.0   160.0   0.0001474
520.0   320.0   0.0003236
920.0   260.0   0.0029153
200.0   140.0   0.0000000
960.0   480.0   0.0025717
680.0   360.0   0.0013037
240.0   200.0   0.0000000
600.0   520.0   0.0000143
920.0   420.0   0.0026070
920.0   160.0   0.0028946
480.0   120.0   0.0014300
520.0   280.0   0.0004786
440.0   100.0   0.0011511
600.0   420.0   0.0002143
120.0   20.0   0.0000116
80.0   60.0   0.0000110
800.0   600.0   0.0002187
880.0   420.0   0.0022809
800.0   460.0   0.0015226
680.0   40.0   0.0022340
840.0   240.0   0.0029687
760.0   300.0   0.0024334
640.0   340.0   0.0011150
920.0   500.0   0.0021137
680.0   220.0   0.0021584
760.0   560.0   0.0002890
760.0   20.0   0.0026599
720.0   1   0.0027076
800.0   380.0   0.0025585
680.0   440.0   0.0004610
280.0   100.0   0.0001974
720.0   600.0   0.0000434
640.0   520.0   0.0000428
560.0   120.0   0.0016604
560.0   20.0   0.0018884
800.0   620.0   0.0000870
320.0   60.0   0.0002682
440.0   120.0   0.0009151
200.0   80.0   0.0000626
640.0   1   0.0021762
560.0   260.0   0.0009684
480.0   300.0   0.0002797
760.0   440.0   0.0013771
640.0   400.0   0.0006308
840.0   300.0   0.0022676
600.0   360.0   0.0005144
280.0   80.0   0.0002370
960.0   280.0   0.0025139
720.0   480.0   0.0006344
720.0   360.0   0.0017881
760.0   140.0   0.0025100
760.0   260.0   0.0022337
960.0   40.0   0.0027527
520.0   80.0   0.0016934
800.0   180.0   0.0026504
640.0   40.0   0.0023088
880.0   560.0   0.0012777
920.0   300.0   0.0026303
800.0   580.0   0.0003061
520.0   360.0   0.0001409
680.0   280.0   0.0020573
560.0   140.0   0.0013643
800.0   660.0   0.0000434
840.0   340.0   0.0027041
640.0   200.0   0.0021203
480.0   40.0   0.0013711
240.0   80.0   0.0000515
80.0   1   0.0000000
760.0   120.0   0.0028401
720.0   260.0   0.0021823
480.0   400.0   0.0000140
680.0   80.0   0.0025803
760.0   500.0   0.0006223
920.0   80.0   0.0024982
840.0   700.0   0.0000871
720.0   300.0   0.0022571
720.0   160.0   0.0030181
320.0   140.0   0.0001605
880.0   120.0   0.0028557
680.0   100.0   0.0023333
640.0   300.0   0.0013714
760.0   40.0   0.0027630
720.0   380.0   0.0014142
560.0   300.0   0.0007385
920.0   560.0   0.0016225
600.0   240.0   0.0012441
720.0   680.0   0.0000145
360.0   160.0   0.0002308
920.0   620.0   0.0009498
600.0   500.0   0.0000285
880.0   600.0   0.0009032
880.0   220.0   0.0031457
120.0   60.0   0.0000117
840.0   160.0   0.0028917
680.0   540.0   0.0000144
480.0   260.0   0.0005039
440.0   160.0   0.0007060
320.0   20.0   0.0004280
800.0   680.0   0.0000580
960.0   20.0   0.0027797
440.0   1   0.0012854
680.0   640.0   0.0000289
560.0   1   0.0016531
800.0   300.0   0.0022367
880.0   640.0   0.0005106
800.0   540.0   0.0006636
440.0   40.0   0.0013779
520.0   260.0   0.0009297
960.0   640.0   0.0010835
920.0   700.0   0.0003355
440.0   340.0   0.0000278
640.0   320.0   0.0012062
920.0   520.0   0.0020576
160.0   60.0   0.0000728
680.0   120.0   0.0026624
560.0   480.0   0.0000284
800.0   340.0   0.0022722
840.0   360.0   0.0024076
960.0   600.0   0.0017944
720.0   200.0   0.0022255
440.0   140.0   0.0008198
760.0   460.0   0.0011419
960.0   100.0   0.0027925
600.0   40.0   0.0020832
800.0   260.0   0.0027253
880.0   160.0   0.0027998
720.0   640.0   0.0000287
240.0   120.0   0.0000774
440.0   320.0   0.0000277
440.0   300.0   0.0001386
960.0   580.0   0.0018072
520.0   420.0   0.0000845
320.0   300.0   0.0000000
920.0   640.0   0.0005979
840.0   120.0   0.0028470
680.0   160.0   0.0022988
640.0   380.0   0.0007452
640.0   580.0   0.0000143
320.0   200.0   0.0001073
440.0   180.0   0.0006258
200.0   100.0   0.0000375
560.0   160.0   0.0013202
600.0   220.0   0.0014267
320.0   220.0   0.0000267
680.0   600.0   0.0000144
880.0   500.0   0.0018788
760.0   80.0   0.0025842
600.0   1   0.0021721
240.0   100.0   0.0001161
600.0   320.0   0.0009266
240.0   20.0   0.0001419
480.0   440.0   0.0000000
760.0   380.0   0.0018482
760.0   200.0   0.0022261
480.0   60.0   0.0012880
160.0   40.0   0.0000122
760.0   480.0   0.0009854
920.0   340.0   0.0023579
720.0   620.0   0.0000000
600.0   480.0   0.0000714
680.0   260.0   0.0017394
440.0   360.0   0.0000139
800.0   280.0   0.0024209
720.0   140.0   0.0027323
640.0   260.0   0.0015871
520.0   500.0   0.0000141
880.0   460.0   0.0017902
960.0   700.0   0.0004961
320.0   40.0   0.0005206
640.0   460.0   0.0002154
880.0   140.0   0.0030163
280.0   40.0   0.0003286
880.0   320.0   0.0025472
440.0   420.0   0.0000000
560.0   60.0   0.0019067
480.0   80.0   0.0013432
440.0   20.0   0.0013602
480.0   460.0   0.0000278
800.0   560.0   0.0003906
240.0   140.0   0.0000644
880.0   260.0   0.0027432
840.0   660.0   0.0002040
640.0   600.0   0.0000000
480.0   380.0   0.0000419
800.0   140.0   0.0028204
720.0   320.0   0.0018672
720.0   280.0   0.0018610
520.0   340.0   0.0001837
440.0   220.0   0.0003185
680.0   500.0   0.0001293
840.0   580.0   0.0006825
680.0   320.0   0.0015935
520.0   200.0   0.0010289
480.0   1   0.0014534
240.0   40.0   0.0001286
840.0   140.0   0.0029525
200.0   60.0   0.0000627
800.0   160.0   0.0026452
560.0   460.0   0.0000142
440.0   240.0   0.0003740
960.0   60.0   0.0028076
