#: table_doi: 10.17182/hepdata.95354.v2/t25
#: name: chargino+chargino acceptances (wino LSP, 2017)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2017 data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(wino_lsp,_2017).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.0066713,100.0,2.9858e-21,2.7968e-21,-2.7968e-21
0.010007,100.0,6.7108e-15,5.6572e-15,-5.6572e-15
0.013343,100.0,9.1448e-12,6.9378e-12,-6.9378e-12
0.016678,100.0,6.5996e-10,4.5641e-10,-4.5641e-10
0.020014,100.0,1.1042e-08,7.072e-09,-7.072e-09
0.023349,100.0,8.0356e-08,4.8376e-08,-4.8376e-08
0.026685,100.0,3.4805e-07,1.9946e-07,-1.9946e-07
0.030021,100.0,1.0681e-06,5.8844e-07,-5.8844e-07
0.033356,100.0,2.5785e-06,1.3759e-06,-1.3759e-06
0.066713,100.0,9.8951e-05,4.4603e-05,-4.4603e-05
0.10007,100.0,0.0002665,0.00010621,-0.00010621
0.13343,100.0,0.00040814,0.00014268,-0.00014268
0.16678,100.0,0.00051597,0.00015869,-0.00015869
0.20014,100.0,0.00059722,0.00016475,-0.00016475
0.23349,100.0,0.00065733,0.00016714,-0.00016714
0.26685,100.0,0.00070077,0.00016859,-0.00016859
0.30021,100.0,0.00073212,0.00017006,-0.00017006
0.33356,100.0,0.00075609,0.00017199,-0.00017199
0.66713,100.0,0.00097153,0.00053448,-0.00053448
1.0007,100.0,0.0008184,0.00038734,-0.00038734
1.3343,100.0,0.00068331,0.00029393,-0.00029393
1.6678,100.0,0.00057778,0.00023316,-0.00023316
2.0014,100.0,0.00049555,0.00019147,-0.00019147
2.3349,100.0,0.00043028,0.00016158,-0.00016158
2.6685,100.0,0.00037743,0.00013934,-0.00013934
3.0021,100.0,0.00033391,0.00012221,-0.00012221
3.3356,100.0,0.00029757,0.00010862,-0.00010862
6.6713,100.0,4.5683e-05,3.3569e-05,-3.3569e-05
10.007,100.0,9.9898e-05,7.2113e-05,-7.2113e-05
13.343,100.0,0.00012494,8.9553e-05,-8.9553e-05
16.678,100.0,0.00012926,9.2312e-05,-9.2312e-05
20.014,100.0,0.00012368,8.8138e-05,-8.8138e-05
23.349,100.0,0.00011426,8.1314e-05,-8.1314e-05
26.685,100.0,0.00010389,7.3864e-05,-7.3864e-05
30.021,100.0,9.3831e-05,6.6668e-05,-6.6668e-05
33.356,100.0,8.4589e-05,6.0071e-05,-6.0071e-05
66.713,100.0,4.94e-06,4.94e-06,-4.94e-06
100.07,100.0,8.5326e-06,8.5235e-06,-8.5235e-06
133.43,100.0,9.5798e-06,9.4475e-06,-9.4475e-06
166.78,100.0,9.6825e-06,9.1017e-06,-9.1017e-06
200.14,100.0,9.8055e-06,8.4132e-06,-8.4132e-06
233.49,100.0,1.0232e-05,7.9101e-06,-7.9101e-06
266.85,100.0,1.0921e-05,7.8694e-06,-7.8694e-06
300.21,100.0,1.1744e-05,8.3052e-06,-8.3052e-06
333.56,100.0,1.2581e-05,9.0477e-06,-9.0477e-06
0.0066713,200.0,4.1657e-21,4.1657e-21,-4.1657e-21
0.010007,200.0,7.1573e-15,7.156e-15,-7.156e-15
0.013343,200.0,7.9315e-12,7.9136e-12,-7.9136e-12
0.016678,200.0,4.8433e-10,4.7941e-10,-4.7941e-10
0.020014,200.0,7.1151e-09,6.9155e-09,-6.9155e-09
0.023349,200.0,4.7108e-08,4.4373e-08,-4.4373e-08
0.026685,200.0,1.9179e-07,1.7271e-07,-1.7271e-07
0.030021,200.0,5.6908e-07,4.839e-07,-4.839e-07
0.033356,200.0,1.3593e-06,1.0809e-06,-1.0809e-06
0.066713,200.0,7.5094e-05,2.9816e-05,-2.9816e-05
0.10007,200.0,0.00029271,8.028e-05,-8.028e-05
0.13343,200.0,0.00056667,0.00012612,-0.00012612
0.16678,200.0,0.00082799,0.00016038,-0.00016038
0.20014,200.0,0.0010504,0.00018525,-0.00018525
0.23349,200.0,0.0012289,0.00020393,-0.00020393
0.26685,200.0,0.0013674,0.00021857,-0.00021857
0.30021,200.0,0.0014729,0.00023049,-0.00023049
0.33356,200.0,0.0015522,0.00024063,-0.00024063
0.66713,200.0,0.0020673,0.00077004,-0.00077004
1.0007,200.0,0.0019193,0.0005857,-0.0005857
1.3343,200.0,0.0017302,0.00045204,-0.00045204
1.6678,200.0,0.0015715,0.00036409,-0.00036409
2.0014,200.0,0.0014438,0.0003055,-0.0003055
2.3349,200.0,0.0013406,0.00026546,-0.00026546
2.6685,200.0,0.0012563,0.0002375,-0.0002375
3.0021,200.0,0.0011861,0.00021779,-0.00021779
3.3356,200.0,0.0011268,0.00020406,-0.00020406
6.6713,200.0,0.00063769,0.000381,-0.000381
10.007,200.0,0.00063824,0.00034589,-0.00034589
13.343,200.0,0.00056072,0.00028522,-0.00028522
16.678,200.0,0.00047913,0.00023298,-0.00023298
