#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.0066713,100.0,5.4823e-13,5.4823e-13,-5.4823e-13
0.010007,100.0,6.0495e-10,6.048e-10,-6.048e-10
0.013343,100.0,1.8495e-08,1.8452e-08,-1.8452e-08
0.016678,100.0,1.3763e-07,1.3639e-07,-1.3639e-07
0.020014,100.0,5.1221e-07,5.0052e-07,-5.0052e-07
0.023349,100.0,1.2958e-06,1.2375e-06,-1.2375e-06
0.026685,100.0,2.5945e-06,2.3984e-06,-2.3984e-06
0.030021,100.0,4.4695e-06,3.9624e-06,-3.9624e-06
0.033356,100.0,6.9548e-06,5.8654e-06,-5.8654e-06
0.066713,100.0,6.5042e-05,3.1126e-05,-3.1126e-05
0.10007,100.0,0.00015478,5.6572e-05,-5.6572e-05
0.13343,100.0,0.00023663,7.8115e-05,-7.8115e-05
0.16678,100.0,0.00029865,9.397e-05,-9.397e-05
0.20014,100.0,0.0003422,0.00010469,-0.00010469
0.23349,100.0,0.0003715,0.0001115,-0.0001115
0.26685,100.0,0.0003904,0.00011553,-0.00011553
0.30021,100.0,0.00040184,0.00011762,-0.00011762
0.33356,100.0,0.00040796,0.00011839,-0.00011839
0.66713,100.0,0.00034267,0.00017297,-0.00017297
1.0007,100.0,0.00034516,0.0001612,-0.0001612
1.3343,100.0,0.00032427,0.00014672,-0.00014672
1.6678,100.0,0.00029893,0.00013326,-0.00013326
2.0014,100.0,0.00027459,0.00012145,-0.00012145
2.3349,100.0,0.00025268,0.00011125,-0.00011125
2.6685,100.0,0.00023338,0.00010247,-0.00010247
3.0021,100.0,0.00021646,9.4865e-05,-9.4865e-05
3.3356,100.0,0.00020161,8.8251e-05,-8.8251e-05
6.6713,100.0,0.00011904,0.00011904,-0.00011904
10.007,100.0,8.0996e-05,8.0996e-05,-8.0996e-05
13.343,100.0,6.1371e-05,6.1371e-05,-6.1371e-05
16.678,100.0,4.9398e-05,4.9398e-05,-4.9398e-05
20.014,100.0,4.1334e-05,4.1334e-05,-4.1334e-05
23.349,100.0,3.5533e-05,3.5533e-05,-3.5533e-05
26.685,100.0,3.1159e-05,3.1159e-05,-3.1159e-05
30.021,100.0,2.7744e-05,2.7744e-05,-2.7744e-05
33.356,100.0,2.5004e-05,2.5004e-05,-2.5004e-05
66.713,100.0,2.1185e-05,2.1185e-05,-2.1185e-05
100.07,100.0,1.4177e-05,1.4177e-05,-1.4177e-05
133.43,100.0,1.0653e-05,1.0653e-05,-1.0653e-05
166.78,100.0,8.5321e-06,8.5321e-06,-8.5321e-06
200.14,100.0,7.1155e-06,7.1155e-06,-7.1155e-06
233.49,100.0,6.1023e-06,6.1023e-06,-6.1023e-06
266.85,100.0,5.3417e-06,5.3417e-06,-5.3417e-06
300.21,100.0,4.7497e-06,4.7497e-06,-4.7497e-06
333.56,100.0,4.2758e-06,4.2758e-06,-4.2758e-06
0.0066713,200.0,3.5085e-17,3.2158e-17,-3.2158e-17
0.010007,200.0,1.098e-12,9.1186e-13,-9.1186e-13
0.013343,200.0,1.8771e-10,1.4413e-10,-1.4413e-10
0.016678,200.0,4.0229e-09,2.9056e-09,-2.9056e-09
0.020014,200.0,3.0679e-08,2.1046e-08,-2.1046e-08
0.023349,200.0,1.3016e-07,8.5194e-08,-8.5194e-08
0.026685,200.0,3.8405e-07,2.402e-07,-2.402e-07
0.030021,200.0,8.9191e-07,5.3292e-07,-5.3292e-07
0.033356,200.0,1.7553e-06,1.0011e-06,-1.0011e-06
0.066713,200.0,4.4394e-05,1.5652e-05,-1.5652e-05
0.10007,200.0,0.00015783,4.0192e-05,-4.0192e-05
0.13343,200.0,0.00031431,6.8142e-05,-6.8142e-05
0.16678,200.0,0.00047954,9.6115e-05,-9.6115e-05
0.20014,200.0,0.00063324,0.00012197,-0.00012197
0.23349,200.0,0.00076679,0.00014477,-0.00014477
0.26685,200.0,0.00087818,0.00016434,-0.00016434
0.30021,200.0,0.00096856,0.0001808,-0.0001808
0.33356,200.0,0.0010403,0.00019443,-0.00019443
0.66713,200.0,0.0014775,0.00033362,-0.00033362
1.0007,200.0,0.001476,0.00031584,-0.00031584
1.3343,200.0,0.0013816,0.0002873,-0.0002873
1.6678,200.0,0.0012739,0.00026054,-0.00026054
2.0014,200.0,0.0011725,0.00023746,-0.00023746
2.3349,200.0,0.001082,0.00021788,-0.00021788
2.6685,200.0,0.0010023,0.0002012,-0.0002012
3.0021,200.0,0.00093242,0.00018688,-0.00018688
3.3356,200.0,0.00087093,0.00017448,-0.00017448
6.6713,200.0,0.00048437,0.00025231,-0.00025231
10.007,200.0,0.00034384,0.00017822,-0.00017822
13.343,200.0,0.0002663,0.00013778,-0.00013778
16.678,200.0,0.00021724,0.0001123,-0.0001123
20.014,200.0,0.00018342,9.478e-05,-9.478e-05
23.349,200.0,0.00015871,8.1987e-05,-8.1987e-05
26.685,200.0,0.00013986,7.2237e-05,-7.2237e-05
30.021,200.0,0.00012501,6.4559e-05,-6.4559e-05
33.356,200.0,0.00011301,5.8357e-05,-5.8357e-05
66.713,200.0,3.8386e-05,3.8386e-05,-3.8386e-05
100.07,200.0,2.567e-05,2.567e-05,-2.567e-05
133.43,200.0,1.9282e-05,1.9282e-05,-1.9282e-05
